ID,Resolution,WSI,Node,Class,Image_path
18844,10x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-2,ffpe_normal,CRC-LN_patch_use/normal-10X/N017355-17.18-2022-03-12_22_25_40/node-2/x=4667_y=20515_w=3223_h=2172/patch_24.jpg
18839,10x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-2,ffpe_normal,CRC-LN_patch_use/normal-10X/N017355-17.18-2022-03-12_22_25_40/node-2/x=4667_y=20515_w=3223_h=2172/patch_22.jpg
18843,10x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-2,ffpe_normal,CRC-LN_patch_use/normal-10X/N017355-17.18-2022-03-12_22_25_40/node-2/x=4667_y=20515_w=3223_h=2172/patch_90.jpg
18617,10x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-2,ffpe_normal,CRC-LN_patch_use/normal-10X/N017355-17.18-2022-03-12_22_25_40/node-2/x=2491_y=17968_w=3223_h=2172/patch_16.jpg
18611,10x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-2,ffpe_normal,CRC-LN_patch_use/normal-10X/N017355-17.18-2022-03-12_22_25_40/node-2/x=2491_y=17968_w=3223_h=2172/patch_74.jpg
18941,10x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-2,ffpe_normal,CRC-LN_patch_use/normal-10X/N017355-17.18-2022-03-12_22_25_40/node-2/x=3557_y=31535_w=3223_h=2172/patch_41.jpg
18633,10x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-2,ffpe_normal,CRC-LN_patch_use/normal-10X/N017355-17.18-2022-03-12_22_25_40/node-2/x=2491_y=17968_w=3223_h=2172/patch_5.jpg
18840,10x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-2,ffpe_normal,CRC-LN_patch_use/normal-10X/N017355-17.18-2022-03-12_22_25_40/node-2/x=4667_y=20515_w=3223_h=2172/patch_33.jpg
18889,10x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-2,ffpe_normal,CRC-LN_patch_use/normal-10X/N017355-17.18-2022-03-12_22_25_40/node-2/x=3557_y=31535_w=3223_h=2172/patch_3.jpg
18746,10x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-2,ffpe_normal,CRC-LN_patch_use/normal-10X/N017355-17.18-2022-03-12_22_25_40/node-2/x=1520_y=34730_w=3223_h=2172/patch_33.jpg
18812,10x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-2,ffpe_normal,CRC-LN_patch_use/normal-10X/N017355-17.18-2022-03-12_22_25_40/node-2/x=4667_y=20515_w=3223_h=2172/patch_29.jpg
18863,10x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-2,ffpe_normal,CRC-LN_patch_use/normal-10X/N017355-17.18-2022-03-12_22_25_40/node-2/x=3557_y=31535_w=3223_h=2172/patch_62.jpg
18719,10x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-2,ffpe_normal,CRC-LN_patch_use/normal-10X/N017355-17.18-2022-03-12_22_25_40/node-2/x=1520_y=34730_w=3223_h=2172/patch_42.jpg
18828,10x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-2,ffpe_normal,CRC-LN_patch_use/normal-10X/N017355-17.18-2022-03-12_22_25_40/node-2/x=4667_y=20515_w=3223_h=2172/patch_30.jpg
18694,10x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-2,ffpe_normal,CRC-LN_patch_use/normal-10X/N017355-17.18-2022-03-12_22_25_40/node-2/x=1520_y=34730_w=3223_h=2172/patch_44.jpg
18936,10x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-2,ffpe_normal,CRC-LN_patch_use/normal-10X/N017355-17.18-2022-03-12_22_25_40/node-2/x=3557_y=31535_w=3223_h=2172/patch_33.jpg
18820,10x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-2,ffpe_normal,CRC-LN_patch_use/normal-10X/N017355-17.18-2022-03-12_22_25_40/node-2/x=4667_y=20515_w=3223_h=2172/patch_23.jpg
18634,10x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-2,ffpe_normal,CRC-LN_patch_use/normal-10X/N017355-17.18-2022-03-12_22_25_40/node-2/x=2491_y=17968_w=3223_h=2172/patch_88.jpg
18810,10x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-2,ffpe_normal,CRC-LN_patch_use/normal-10X/N017355-17.18-2022-03-12_22_25_40/node-2/x=4667_y=20515_w=3223_h=2172/patch_34.jpg
19031,10x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-3,ffpe_normal,CRC-LN_patch_use/normal-10X/N017355-17.18-2022-03-12_22_25_40/node-3/x=7585_y=30609_w=3223_h=2172/patch_22.jpg
19372,10x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-3,ffpe_normal,CRC-LN_patch_use/normal-10X/N017355-17.18-2022-03-12_22_25_40/node-3/x=5641_y=37231_w=3223_h=2172/patch_55.jpg
19352,10x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-3,ffpe_normal,CRC-LN_patch_use/normal-10X/N017355-17.18-2022-03-12_22_25_40/node-3/x=5641_y=37231_w=3223_h=2172/patch_87.jpg
19235,10x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-3,ffpe_normal,CRC-LN_patch_use/normal-10X/N017355-17.18-2022-03-12_22_25_40/node-3/x=5362_y=28062_w=3223_h=2172/patch_64.jpg
19357,10x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-3,ffpe_normal,CRC-LN_patch_use/normal-10X/N017355-17.18-2022-03-12_22_25_40/node-3/x=5641_y=37231_w=3223_h=2172/patch_91.jpg
19130,10x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-3,ffpe_normal,CRC-LN_patch_use/normal-10X/N017355-17.18-2022-03-12_22_25_40/node-3/x=5085_y=34545_w=3223_h=2172/patch_43.jpg
19226,10x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-3,ffpe_normal,CRC-LN_patch_use/normal-10X/N017355-17.18-2022-03-12_22_25_40/node-3/x=5362_y=28062_w=3223_h=2172/patch_43.jpg
19333,10x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-3,ffpe_normal,CRC-LN_patch_use/normal-10X/N017355-17.18-2022-03-12_22_25_40/node-3/x=8373_y=34638_w=3223_h=2172/patch_79.jpg
19035,10x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-3,ffpe_normal,CRC-LN_patch_use/normal-10X/N017355-17.18-2022-03-12_22_25_40/node-3/x=7585_y=30609_w=3223_h=2172/patch_90.jpg
19400,10x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-3,ffpe_normal,CRC-LN_patch_use/normal-10X/N017355-17.18-2022-03-12_22_25_40/node-3/x=5641_y=37231_w=3223_h=2172/patch_75.jpg
18967,10x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-3,ffpe_normal,CRC-LN_patch_use/normal-10X/N017355-17.18-2022-03-12_22_25_40/node-3/x=7585_y=30609_w=3223_h=2172/patch_82.jpg
19239,10x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-3,ffpe_normal,CRC-LN_patch_use/normal-10X/N017355-17.18-2022-03-12_22_25_40/node-3/x=5362_y=28062_w=3223_h=2172/patch_32.jpg
19391,10x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-3,ffpe_normal,CRC-LN_patch_use/normal-10X/N017355-17.18-2022-03-12_22_25_40/node-3/x=5641_y=37231_w=3223_h=2172/patch_65.jpg
19256,10x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-3,ffpe_normal,CRC-LN_patch_use/normal-10X/N017355-17.18-2022-03-12_22_25_40/node-3/x=8373_y=34638_w=3223_h=2172/patch_87.jpg
18988,10x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-3,ffpe_normal,CRC-LN_patch_use/normal-10X/N017355-17.18-2022-03-12_22_25_40/node-3/x=7585_y=30609_w=3223_h=2172/patch_55.jpg
19051,10x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-3,ffpe_normal,CRC-LN_patch_use/normal-10X/N017355-17.18-2022-03-12_22_25_40/node-3/x=7585_y=30609_w=3223_h=2172/patch_40.jpg
19013,10x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-3,ffpe_normal,CRC-LN_patch_use/normal-10X/N017355-17.18-2022-03-12_22_25_40/node-3/x=7585_y=30609_w=3223_h=2172/patch_78.jpg
19381,10x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-3,ffpe_normal,CRC-LN_patch_use/normal-10X/N017355-17.18-2022-03-12_22_25_40/node-3/x=5641_y=37231_w=3223_h=2172/patch_45.jpg
