ID,Resolution,WSI,Node,Class,Image_path
41,4x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-2,ffpe_normal,CRC-LN_patch_use/normal-4X/N017355-17.18-2022-03-12_22_25_40/node-2/x=17664_y=18592_w=9583_h=6480/patch_94.jpg
23,4x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-2,ffpe_normal,CRC-LN_patch_use/normal-4X/N017355-17.18-2022-03-12_22_25_40/node-2/x=17664_y=18592_w=9583_h=6480/patch_1.jpg
56,4x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-2,ffpe_normal,CRC-LN_patch_use/normal-4X/N017355-17.18-2022-03-12_22_25_40/node-2/x=17664_y=18592_w=9583_h=6480/patch_88.jpg
73,4x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-2,ffpe_normal,CRC-LN_patch_use/normal-4X/N017355-17.18-2022-03-12_22_25_40/node-2/x=17664_y=18592_w=9583_h=6480/patch_33.jpg
1,4x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-2,ffpe_normal,CRC-LN_patch_use/normal-4X/N017355-17.18-2022-03-12_22_25_40/node-2/x=17664_y=18592_w=9583_h=6480/patch_38.jpg
27,4x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-2,ffpe_normal,CRC-LN_patch_use/normal-4X/N017355-17.18-2022-03-12_22_25_40/node-2/x=17664_y=18592_w=9583_h=6480/patch_54.jpg
40,4x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-2,ffpe_normal,CRC-LN_patch_use/normal-4X/N017355-17.18-2022-03-12_22_25_40/node-2/x=17664_y=18592_w=9583_h=6480/patch_60.jpg
68,4x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-2,ffpe_normal,CRC-LN_patch_use/normal-4X/N017355-17.18-2022-03-12_22_25_40/node-2/x=17664_y=18592_w=9583_h=6480/patch_67.jpg
11,4x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-2,ffpe_normal,CRC-LN_patch_use/normal-4X/N017355-17.18-2022-03-12_22_25_40/node-2/x=17664_y=18592_w=9583_h=6480/patch_15.jpg
230,4x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-3,ffpe_normal,CRC-LN_patch_use/normal-4X/N017355-17.18-2022-03-12_22_25_40/node-3/x=2344_y=33483_w=9583_h=6480/patch_68.jpg
210,4x,N017355-17.18-2022-03-12_22_25_40,N017355-17.18-2022-03-12_22_25_40-node-3,ffpe_normal,CRC-LN_patch_use/normal-4X/N017355-17.18-2022-03-12_22_25_40/node-3/x=2344_y=33483_w=9583_h=6480/patch_34.jpg
