ID,Resolution,WSI,Node,Class,Image_path
26942,4x,tumor_011,tumor_011,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-4X/tumor_011/3_x=70954_y=106903_w=9115_h=5806/patch_26.jpg
27186,4x,tumor_011,tumor_011,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-4X/tumor_011/3_x=53198_y=104932_w=9115_h=5806/patch_61.jpg
27090,4x,tumor_011,tumor_011,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-4X/tumor_011/3_x=53169_y=110899_w=9115_h=5806/patch_13.jpg
27142,4x,tumor_011,tumor_011,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-4X/tumor_011/3_x=59087_y=149917_w=9115_h=5806/patch_45.jpg
27008,4x,tumor_011,tumor_011,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-4X/tumor_011/3_x=72239_y=113583_w=9115_h=5806/patch_28.jpg
27165,4x,tumor_011,tumor_011,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-4X/tumor_011/3_x=59139_y=155738_w=9115_h=5806/patch_6.jpg
27196,4x,tumor_011,tumor_011,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-4X/tumor_011/3_x=53198_y=104932_w=9115_h=5806/patch_25.jpg
27103,4x,tumor_011,tumor_011,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-4X/tumor_011/3_x=53169_y=110899_w=9115_h=5806/patch_50.jpg
26975,4x,tumor_011,tumor_011,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-4X/tumor_011/3_x=70954_y=106903_w=9115_h=5806/patch_30.jpg
27158,4x,tumor_011,tumor_011,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-4X/tumor_011/3_x=59087_y=149917_w=9115_h=5806/patch_71.jpg
26979,4x,tumor_011,tumor_011,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-4X/tumor_011/3_x=70954_y=106903_w=9115_h=5806/patch_50.jpg
27199,4x,tumor_011,tumor_011,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-4X/tumor_011/3_x=53198_y=104932_w=9115_h=5806/patch_60.jpg
27076,4x,tumor_011,tumor_011,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-4X/tumor_011/3_x=53169_y=110899_w=9115_h=5806/patch_49.jpg
27101,4x,tumor_011,tumor_011,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-4X/tumor_011/3_x=53169_y=110899_w=9115_h=5806/patch_35.jpg
26938,4x,tumor_011,tumor_011,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-4X/tumor_011/3_x=70954_y=106903_w=9115_h=5806/patch_7.jpg
27150,4x,tumor_011,tumor_011,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-4X/tumor_011/3_x=59087_y=149917_w=9115_h=5806/patch_14.jpg
27163,4x,tumor_011,tumor_011,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-4X/tumor_011/3_x=59139_y=155738_w=9115_h=5806/patch_47.jpg
