ID,Resolution,WSI,Node,Class,Image_path
1,4x,normal_083,normal_083,ffpe_normal,breast_patch/camelyon16_patch_use/train/normal-4X/normal_083/3_x=51772_y=140245_w=9033_h=5934/patch_38.jpg
2,4x,normal_083,normal_083,ffpe_normal,breast_patch/camelyon16_patch_use/train/normal-4X/normal_083/3_x=51772_y=140245_w=9033_h=5934/patch_62.jpg
3,4x,normal_083,normal_083,ffpe_normal,breast_patch/camelyon16_patch_use/train/normal-4X/normal_083/3_x=51772_y=140245_w=9033_h=5934/patch_47.jpg
4,4x,normal_083,normal_083,ffpe_normal,breast_patch/camelyon16_patch_use/train/normal-4X/normal_083/3_x=51772_y=140245_w=9033_h=5934/patch_70.jpg
5,4x,normal_083,normal_083,ffpe_normal,breast_patch/camelyon16_patch_use/train/normal-4X/normal_083/3_x=51772_y=140245_w=9033_h=5934/patch_7.jpg
6,4x,normal_083,normal_083,ffpe_normal,breast_patch/camelyon16_patch_use/train/normal-4X/normal_083/3_x=51772_y=140245_w=9033_h=5934/patch_6.jpg
7,4x,normal_083,normal_083,ffpe_normal,breast_patch/camelyon16_patch_use/train/normal-4X/normal_083/3_x=51772_y=140245_w=9033_h=5934/patch_15.jpg
8,4x,normal_083,normal_083,ffpe_normal,breast_patch/camelyon16_patch_use/train/normal-4X/normal_083/3_x=51772_y=140245_w=9033_h=5934/patch_26.jpg
9,4x,normal_083,normal_083,ffpe_normal,breast_patch/camelyon16_patch_use/train/normal-4X/normal_083/3_x=51772_y=140245_w=9033_h=5934/patch_61.jpg
10,4x,normal_083,normal_083,ffpe_normal,breast_patch/camelyon16_patch_use/train/normal-4X/normal_083/3_x=51772_y=140245_w=9033_h=5934/patch_58.jpg
11,4x,normal_083,normal_083,ffpe_normal,breast_patch/camelyon16_patch_use/train/normal-4X/normal_083/3_x=51772_y=140245_w=9033_h=5934/patch_28.jpg
12,4x,normal_083,normal_083,ffpe_normal,breast_patch/camelyon16_patch_use/train/normal-4X/normal_083/3_x=51772_y=140245_w=9033_h=5934/patch_73.jpg
13,4x,normal_083,normal_083,ffpe_normal,breast_patch/camelyon16_patch_use/train/normal-4X/normal_083/3_x=51772_y=140245_w=9033_h=5934/patch_46.jpg
14,4x,normal_083,normal_083,ffpe_normal,breast_patch/camelyon16_patch_use/train/normal-4X/normal_083/3_x=51772_y=140245_w=9033_h=5934/patch_44.jpg
15,4x,normal_083,normal_083,ffpe_normal,breast_patch/camelyon16_patch_use/train/normal-4X/normal_083/3_x=51772_y=140245_w=9033_h=5934/patch_1.jpg
