ID,Resolution,Center,WSI,Node,Class,Image_path
1,4x,center_0,patient_014,patient_014_node-2,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_014/node-2/patch_91.jpg
2,4x,center_0,patient_014,patient_014_node-2,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_014/node-2/patch_55.jpg
3,4x,center_0,patient_014,patient_014_node-2,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_014/node-2/patch_66.jpg
4,4x,center_0,patient_014,patient_014_node-2,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_014/node-2/patch_102.jpg
5,4x,center_0,patient_014,patient_014_node-2,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_014/node-2/patch_67.jpg
6,4x,center_0,patient_014,patient_014_node-2,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_014/node-2/patch_43.jpg
7,4x,center_0,patient_014,patient_014_node-2,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_014/node-2/patch_90.jpg
8,4x,center_0,patient_014,patient_014_node-2,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_014/node-2/patch_41.jpg
9,4x,center_0,patient_014,patient_014_node-2,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_014/node-2/patch_79.jpg
10,4x,center_0,patient_014,patient_014_node-2,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_014/node-2/patch_103.jpg
11,4x,center_0,patient_014,patient_014_node-4,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_014/node-4/patch_31.jpg
12,4x,center_0,patient_014,patient_014_node-4,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_014/node-4/patch_15.jpg
13,4x,center_0,patient_014,patient_014_node-4,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_014/node-4/patch_26.jpg
14,4x,center_0,patient_014,patient_014_node-4,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_014/node-4/patch_28.jpg
15,4x,center_0,patient_014,patient_014_node-4,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_014/node-4/patch_25.jpg
16,4x,center_0,patient_014,patient_014_node-4,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_014/node-4/patch_16.jpg
17,4x,center_0,patient_014,patient_014_node-4,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_014/node-4/patch_29.jpg
18,4x,center_0,patient_014,patient_014_node-4,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_014/node-4/patch_27.jpg
19,4x,center_0,patient_014,patient_014_node-4,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_014/node-4/patch_14.jpg
20,4x,center_0,patient_014,patient_014_node-4,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_014/node-4/patch_39.jpg
21,4x,center_0,patient_014,patient_014_node-4,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_014/node-4/patch_40.jpg
22,4x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_016/node-0/patch_38.jpg
23,4x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_016/node-0/patch_62.jpg
24,4x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_016/node-0/patch_70.jpg
25,4x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_016/node-0/patch_82.jpg
26,4x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_016/node-0/patch_15.jpg
27,4x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_016/node-0/patch_26.jpg
28,4x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_016/node-0/patch_61.jpg
29,4x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_016/node-0/patch_58.jpg
30,4x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_016/node-0/patch_91.jpg
31,4x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_016/node-0/patch_92.jpg
32,4x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_016/node-0/patch_28.jpg
33,4x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_016/node-0/patch_77.jpg
34,4x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_016/node-0/patch_105.jpg
35,4x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_016/node-0/patch_46.jpg
36,4x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_016/node-0/patch_17.jpg
37,4x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_016/node-0/patch_49.jpg
38,4x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_016/node-0/patch_25.jpg
39,4x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_016/node-0/patch_56.jpg
40,4x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_016/node-0/patch_45.jpg
41,4x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-4X/center_0/patient_016/node-0/patch_16.jpg
