ID,Resolution,Center,WSI,Node,Class,Image_path
1265,10x,center_0,patient_015,patient_015_node-4,ffpe_itc,breast_patch/camelyon17_patch_use/training_itc-10X/center_0/patient_015/node-4/patch_48.jpg
1270,10x,center_3,patient_060,patient_060_node-3,ffpe_itc,breast_patch/camelyon17_patch_use/training_itc-10X/center_3/patient_060/node-3/patch_11.jpg
1271,10x,center_3,patient_060,patient_060_node-3,ffpe_itc,breast_patch/camelyon17_patch_use/training_itc-10X/center_3/patient_060/node-3/patch_12.jpg
1272,10x,center_3,patient_060,patient_060_node-3,ffpe_itc,breast_patch/camelyon17_patch_use/training_itc-10X/center_3/patient_060/node-3/patch_22.jpg
11490,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_117.jpg
11491,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_62.jpg
11492,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_70.jpg
11493,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_82.jpg
11494,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_58.jpg
11495,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_114.jpg
11496,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_77.jpg
11497,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_46.jpg
11498,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_36.jpg
11499,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_81.jpg
11500,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_113.jpg
11501,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_54.jpg
11502,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_12.jpg
11503,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_55.jpg
11504,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_80.jpg
11505,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_49.jpg
11506,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_56.jpg
11507,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_45.jpg
11508,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_63.jpg
11509,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_65.jpg
11510,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_66.jpg
11511,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_115.jpg
11512,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_78.jpg
11513,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_97.jpg
11514,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_75.jpg
11515,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_57.jpg
11516,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_83.jpg
11517,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_68.jpg
11518,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_67.jpg
11519,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_37.jpg
11520,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_108.jpg
11521,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_96.jpg
11522,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_71.jpg
11523,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_24.jpg
11524,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_53.jpg
11525,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_76.jpg
11526,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_52.jpg
11527,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_69.jpg
11528,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_64.jpg
11529,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_79.jpg
11530,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_48.jpg
11531,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_118.jpg
11532,10x,center_0,patient_016,patient_016_node-0,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_0/patient_016/node-0/patch_116.jpg
11822,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_38.jpg
11823,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_62.jpg
11824,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_47.jpg
11825,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_84.jpg
11826,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_70.jpg
11827,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_6.jpg
11828,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_82.jpg
11829,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_15.jpg
11830,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_26.jpg
11831,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_61.jpg
11832,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_58.jpg
11833,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_28.jpg
11834,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_73.jpg
11835,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_77.jpg
11836,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_46.jpg
11837,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_44.jpg
11838,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_1.jpg
11839,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_11.jpg
11840,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_36.jpg
11841,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_81.jpg
11842,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_3.jpg
11843,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_12.jpg
11844,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_55.jpg
11845,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_80.jpg
11846,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_17.jpg
11847,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_74.jpg
11848,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_49.jpg
11849,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_25.jpg
11850,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_56.jpg
11851,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_45.jpg
11852,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_16.jpg
11853,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_60.jpg
11854,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_34.jpg
11855,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_18.jpg
11856,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_29.jpg
11857,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_63.jpg
11858,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_27.jpg
11859,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_13.jpg
11860,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_72.jpg
11861,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_66.jpg
11862,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_23.jpg
11863,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_14.jpg
11864,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_78.jpg
11865,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_5.jpg
11866,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_75.jpg
11867,10x,center_3,patient_066,patient_066_node-3,ffpe_macro,breast_patch/camelyon17_patch_use/training_macro-10X/center_3/patient_066/node-3/patch_57.jpg
