ID,Resolution,WSI,Node,Class,Image_path,Center
28263,4x,tumor_044,tumor_044,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-4X/tumor_044/3_x=73285_y=174351_w=9170_h=6076/patch_31.jpg,
28411,4x,tumor_044,tumor_044,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-4X/tumor_044/3_x=44280_y=173352_w=9170_h=6076/patch_67.jpg,
28451,4x,tumor_044,tumor_044,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-4X/tumor_044/3_x=60565_y=138817_w=9170_h=6076/patch_29.jpg,
28226,4x,tumor_044,tumor_044,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-4X/tumor_044/3_x=44251_y=165986_w=9170_h=6076/patch_65.jpg,
28235,4x,tumor_044,tumor_044,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-4X/tumor_044/3_x=44251_y=165986_w=9170_h=6076/patch_39.jpg,
28270,4x,tumor_044,tumor_044,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-4X/tumor_044/3_x=73285_y=174351_w=9170_h=6076/patch_26.jpg,
28330,4x,tumor_044,tumor_044,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-4X/tumor_044/3_x=73285_y=174351_w=9170_h=6076/patch_51.jpg,
28527,4x,tumor_044,tumor_044,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-4X/tumor_044/3_x=53587_y=178291_w=9170_h=6076/patch_37.jpg,
28438,4x,tumor_044,tumor_044,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-4X/tumor_044/3_x=60565_y=138817_w=9170_h=6076/patch_26.jpg,
28459,4x,tumor_044,tumor_044,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-4X/tumor_044/3_x=60565_y=138817_w=9170_h=6076/patch_39.jpg,
28560,4x,tumor_044,tumor_044,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-4X/tumor_044/3_x=42160_y=147913_w=9170_h=6076/patch_73.jpg,
28271,4x,tumor_044,tumor_044,ffpe_macro,breast_patch/camelyon16_patch_use/train/macro-4X/tumor_044/3_x=73285_y=174351_w=9170_h=6076/patch_61.jpg,
