ID,Resolution,WSI,Node,Class,Image_path,Center
4038,10x,F728388-1-_2024-05-3009_43_07,F728388-1-_2024-05-3009_43_07-node-1,bf_normal,multi_centers/patch_use/zhongshan/fs/normal-10X/F728388-1-_2024-05-3009_43_07/node-1/x=3460_y=25992_w=3097_h=2084/patch_94.jpg,zhongshan
4020,10x,F728388-1-_2024-05-3009_43_07,F728388-1-_2024-05-3009_43_07-node-1,bf_normal,multi_centers/patch_use/zhongshan/fs/normal-10X/F728388-1-_2024-05-3009_43_07/node-1/x=3460_y=25992_w=3097_h=2084/patch_44.jpg,zhongshan
4053,10x,F728388-1-_2024-05-3009_43_07,F728388-1-_2024-05-3009_43_07-node-1,bf_normal,multi_centers/patch_use/zhongshan/fs/normal-10X/F728388-1-_2024-05-3009_43_07/node-1/x=3460_y=25992_w=3097_h=2084/patch_88.jpg,zhongshan
4070,10x,F728388-1-_2024-05-3009_43_07,F728388-1-_2024-05-3009_43_07-node-1,bf_normal,multi_centers/patch_use/zhongshan/fs/normal-10X/F728388-1-_2024-05-3009_43_07/node-1/x=3460_y=25992_w=3097_h=2084/patch_33.jpg,zhongshan
3998,10x,F728388-1-_2024-05-3009_43_07,F728388-1-_2024-05-3009_43_07-node-1,bf_normal,multi_centers/patch_use/zhongshan/fs/normal-10X/F728388-1-_2024-05-3009_43_07/node-1/x=3460_y=25992_w=3097_h=2084/patch_38.jpg,zhongshan
4024,10x,F728388-1-_2024-05-3009_43_07,F728388-1-_2024-05-3009_43_07-node-1,bf_normal,multi_centers/patch_use/zhongshan/fs/normal-10X/F728388-1-_2024-05-3009_43_07/node-1/x=3460_y=25992_w=3097_h=2084/patch_3.jpg,zhongshan
4037,10x,F728388-1-_2024-05-3009_43_07,F728388-1-_2024-05-3009_43_07-node-1,bf_normal,multi_centers/patch_use/zhongshan/fs/normal-10X/F728388-1-_2024-05-3009_43_07/node-1/x=3460_y=25992_w=3097_h=2084/patch_60.jpg,zhongshan
4065,10x,F728388-1-_2024-05-3009_43_07,F728388-1-_2024-05-3009_43_07-node-1,bf_normal,multi_centers/patch_use/zhongshan/fs/normal-10X/F728388-1-_2024-05-3009_43_07/node-1/x=3460_y=25992_w=3097_h=2084/patch_67.jpg,zhongshan
4008,10x,F728388-1-_2024-05-3009_43_07,F728388-1-_2024-05-3009_43_07-node-1,bf_normal,multi_centers/patch_use/zhongshan/fs/normal-10X/F728388-1-_2024-05-3009_43_07/node-1/x=3460_y=25992_w=3097_h=2084/patch_87.jpg,zhongshan
4042,10x,F728388-1-_2024-05-3009_43_07,F728388-1-_2024-05-3009_43_07-node-1,bf_normal,multi_centers/patch_use/zhongshan/fs/normal-10X/F728388-1-_2024-05-3009_43_07/node-1/x=3460_y=25992_w=3097_h=2084/patch_63.jpg,zhongshan
