ID,Resolution,WSI,Node,Class,Image_path,Center
6873,10x,N188051-2023-11-25_13_38_51,N188051-2023-11-25_13_38_51-node-2,ffpe_normal,multi_centers/patch_use/zhongshan/ffpe/normal-10X/N188051-2023-11-25_13_38_51/node-2/x=99817_y=43742_w=3312_h=2380/patch_3.jpg,zhongshan
7016,10x,N188051-2023-11-25_13_38_51,N188051-2023-11-25_13_38_51-node-2,ffpe_normal,multi_centers/patch_use/zhongshan/ffpe/normal-10X/N188051-2023-11-25_13_38_51/node-2/x=102965_y=46823_w=3312_h=2380/patch_20.jpg,zhongshan
6983,10x,N188051-2023-11-25_13_38_51,N188051-2023-11-25_13_38_51-node-2,ffpe_normal,multi_centers/patch_use/zhongshan/ffpe/normal-10X/N188051-2023-11-25_13_38_51/node-2/x=102965_y=46823_w=3312_h=2380/patch_55.jpg,zhongshan
6918,10x,N188051-2023-11-25_13_38_51,N188051-2023-11-25_13_38_51-node-2,ffpe_normal,multi_centers/patch_use/zhongshan/ffpe/normal-10X/N188051-2023-11-25_13_38_51/node-2/x=99817_y=43742_w=3312_h=2380/patch_50.jpg,zhongshan
6903,10x,N188051-2023-11-25_13_38_51,N188051-2023-11-25_13_38_51-node-2,ffpe_normal,multi_centers/patch_use/zhongshan/ffpe/normal-10X/N188051-2023-11-25_13_38_51/node-2/x=99817_y=43742_w=3312_h=2380/patch_14.jpg,zhongshan
7051,10x,N188051-2023-11-25_13_38_51,N188051-2023-11-25_13_38_51-node-2,ffpe_normal,multi_centers/patch_use/zhongshan/ffpe/normal-10X/N188051-2023-11-25_13_38_51/node-2/x=102965_y=46823_w=3312_h=2380/patch_40.jpg,zhongshan
6888,10x,N188051-2023-11-25_13_38_51,N188051-2023-11-25_13_38_51-node-2,ffpe_normal,multi_centers/patch_use/zhongshan/ffpe/normal-10X/N188051-2023-11-25_13_38_51/node-2/x=99817_y=43742_w=3312_h=2380/patch_60.jpg,zhongshan
7026,10x,N188051-2023-11-25_13_38_51,N188051-2023-11-25_13_38_51-node-2,ffpe_normal,multi_centers/patch_use/zhongshan/ffpe/normal-10X/N188051-2023-11-25_13_38_51/node-2/x=102965_y=46823_w=3312_h=2380/patch_67.jpg,zhongshan
6852,10x,N188051-2023-11-25_13_38_51,N188051-2023-11-25_13_38_51-node-2,ffpe_normal,multi_centers/patch_use/zhongshan/ffpe/normal-10X/N188051-2023-11-25_13_38_51/node-2/x=99817_y=43742_w=3312_h=2380/patch_82.jpg,zhongshan
6943,10x,N188051-2023-11-25_13_38_51,N188051-2023-11-25_13_38_51-node-2,ffpe_normal,multi_centers/patch_use/zhongshan/ffpe/normal-10X/N188051-2023-11-25_13_38_51/node-2/x=99817_y=43742_w=3312_h=2380/patch_32.jpg,zhongshan
6980,10x,N188051-2023-11-25_13_38_51,N188051-2023-11-25_13_38_51-node-2,ffpe_normal,multi_centers/patch_use/zhongshan/ffpe/normal-10X/N188051-2023-11-25_13_38_51/node-2/x=102965_y=46823_w=3312_h=2380/patch_54.jpg,zhongshan
7047,10x,N188051-2023-11-25_13_38_51,N188051-2023-11-25_13_38_51-node-2,ffpe_normal,multi_centers/patch_use/zhongshan/ffpe/normal-10X/N188051-2023-11-25_13_38_51/node-2/x=102965_y=46823_w=3312_h=2380/patch_4.jpg,zhongshan
6999,10x,N188051-2023-11-25_13_38_51,N188051-2023-11-25_13_38_51-node-2,ffpe_normal,multi_centers/patch_use/zhongshan/ffpe/normal-10X/N188051-2023-11-25_13_38_51/node-2/x=102965_y=46823_w=3312_h=2380/patch_63.jpg,zhongshan
