ID,Center,Resolution,WSI,Node,Class,Image_path
56,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_38.jpg
57,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_26.jpg
58,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_28.jpg
59,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_11.jpg
60,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_36.jpg
61,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_12.jpg
62,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_21.jpg
63,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_34.jpg
64,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_18.jpg
65,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_29.jpg
66,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_27.jpg
67,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_13.jpg
68,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_20.jpg
69,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_30.jpg
70,nandafuyi,10x,9-B23-1466-10X,9-B23-1466-10X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/10x/9-B23-1466-10X/patch_35.jpg
