ID,Center,Resolution,WSI,Node,Class,Image_path
627,nandafuyi,10x,5-1332190-10X,5-1332190-10X,bf_normal,jingxia_patches_use/nandafuyi/bf-negative/10x/5-1332190-10X/patch_14.jpg
639,nandafuyi,10x,5-1332190-10X,5-1332190-10X,bf_normal,jingxia_patches_use/nandafuyi/bf-negative/10x/5-1332190-10X/patch_24.jpg
626,nandafuyi,10x,5-1332190-10X,5-1332190-10X,bf_normal,jingxia_patches_use/nandafuyi/bf-negative/10x/5-1332190-10X/patch_23.jpg
643,nandafuyi,10x,5-1332190-10X,5-1332190-10X,bf_normal,jingxia_patches_use/nandafuyi/bf-negative/10x/5-1332190-10X/patch_4.jpg
624,nandafuyi,10x,5-1332190-10X,5-1332190-10X,bf_normal,jingxia_patches_use/nandafuyi/bf-negative/10x/5-1332190-10X/patch_27.jpg
636,nandafuyi,10x,5-1332190-10X,5-1332190-10X,bf_normal,jingxia_patches_use/nandafuyi/bf-negative/10x/5-1332190-10X/patch_22.jpg
612,nandafuyi,10x,5-1332190-10X,5-1332190-10X,bf_normal,jingxia_patches_use/nandafuyi/bf-negative/10x/5-1332190-10X/patch_36.jpg
619,nandafuyi,10x,5-1332190-10X,5-1332190-10X,bf_normal,jingxia_patches_use/nandafuyi/bf-negative/10x/5-1332190-10X/patch_16.jpg
604,nandafuyi,10x,5-1332190-10X,5-1332190-10X,bf_normal,jingxia_patches_use/nandafuyi/bf-negative/10x/5-1332190-10X/patch_8.jpg
625,nandafuyi,10x,5-1332190-10X,5-1332190-10X,bf_normal,jingxia_patches_use/nandafuyi/bf-negative/10x/5-1332190-10X/patch_13.jpg
608,nandafuyi,10x,5-1332190-10X,5-1332190-10X,bf_normal,jingxia_patches_use/nandafuyi/bf-negative/10x/5-1332190-10X/patch_46.jpg
603,nandafuyi,10x,5-1332190-10X,5-1332190-10X,bf_normal,jingxia_patches_use/nandafuyi/bf-negative/10x/5-1332190-10X/patch_6.jpg
606,nandafuyi,10x,5-1332190-10X,5-1332190-10X,bf_normal,jingxia_patches_use/nandafuyi/bf-negative/10x/5-1332190-10X/patch_26.jpg
640,nandafuyi,10x,5-1332190-10X,5-1332190-10X,bf_normal,jingxia_patches_use/nandafuyi/bf-negative/10x/5-1332190-10X/patch_41.jpg
