ID,Center,Resolution,WSI,Node,Class,Image_path
1,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_6.jpg
2,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_26.jpg
3,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_44.jpg
4,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_11.jpg
5,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_36.jpg
6,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_12.jpg
7,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_21.jpg
8,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_34.jpg
9,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_27.jpg
10,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_13.jpg
11,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_14.jpg
12,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_5.jpg
13,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_20.jpg
14,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_35.jpg
15,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_19.jpg
16,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_43.jpg
17,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_4.jpg
18,nandafuyi,4x,3-B17-0221-4X,3-B17-0221-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/3-B17-0221-4X/patch_28.jpg
19,nandafuyi,4x,3-B17-0221-4X,3-B17-0221-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/3-B17-0221-4X/patch_27.jpg
20,nandafuyi,4x,3-B17-0221-4X,3-B17-0221-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/3-B17-0221-4X/patch_20.jpg
21,nandafuyi,4x,3-B17-0221-4X,3-B17-0221-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/3-B17-0221-4X/patch_19.jpg
22,nandafuyi,4x,2-B20-1807-4X,2-B20-1807-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/2-B20-1807-4X/patch_18.jpg
23,nandafuyi,4x,2-B20-1807-4X,2-B20-1807-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/2-B20-1807-4X/patch_27.jpg
24,nandafuyi,4x,2-B20-1807-4X,2-B20-1807-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/2-B20-1807-4X/patch_19.jpg
25,nandafuyi,4x,6-B23-6101-4X,6-B23-6101-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/6-B23-6101-4X/patch_11.jpg
26,nandafuyi,4x,6-B23-6101-4X,6-B23-6101-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/6-B23-6101-4X/patch_27.jpg
27,nandafuyi,4x,1-B20-1809-4X,1-B20-1809-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/1-B20-1809-4X/patch_26.jpg
28,nandafuyi,4x,1-B20-1809-4X,1-B20-1809-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/1-B20-1809-4X/patch_18.jpg
29,nandafuyi,4x,4-XB23-04276-4X,4-XB23-04276-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/4-XB23-04276-4X/patch_28.jpg
30,nandafuyi,4x,4-XB23-04276-4X,4-XB23-04276-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/4-XB23-04276-4X/patch_27.jpg
31,nandafuyi,4x,4-XB23-04276-4X,4-XB23-04276-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/4-XB23-04276-4X/patch_20.jpg
32,nandafuyi,4x,4-XB23-04276-4X,4-XB23-04276-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/4-XB23-04276-4X/patch_19.jpg
33,nandafuyi,4x,10-B23-3383-4X,10-B23-3383-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/10-B23-3383-4X/patch_26.jpg
34,nandafuyi,4x,10-B23-3383-4X,10-B23-3383-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/10-B23-3383-4X/patch_28.jpg
35,nandafuyi,4x,10-B23-3383-4X,10-B23-3383-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/10-B23-3383-4X/patch_21.jpg
36,nandafuyi,4x,10-B23-3383-4X,10-B23-3383-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/10-B23-3383-4X/patch_34.jpg
37,nandafuyi,4x,10-B23-3383-4X,10-B23-3383-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/10-B23-3383-4X/patch_27.jpg
38,nandafuyi,4x,10-B23-3383-4X,10-B23-3383-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/10-B23-3383-4X/patch_13.jpg
39,nandafuyi,4x,10-B23-3383-4X,10-B23-3383-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/10-B23-3383-4X/patch_20.jpg
40,nandafuyi,4x,10-B23-3383-4X,10-B23-3383-4X,bf_micro,jingxia_patches_use/nandafuyi/bf-micro/4x/10-B23-3383-4X/patch_19.jpg
