ID,Resolution,WSI,Node,Class,Image_path
1208,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_5.jpg
1209,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_36.jpg
1210,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_38.jpg
1211,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_31.jpg
1212,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_15.jpg
1213,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_18.jpg
1214,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_32.jpg
1215,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_26.jpg
1216,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_0.jpg
1217,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_21.jpg
1218,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_25.jpg
1219,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_8.jpg
1220,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_6.jpg
1221,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_22.jpg
1222,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_16.jpg
1223,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_29.jpg
1224,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_17.jpg
1225,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_3.jpg
1226,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_20.jpg
1227,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_10.jpg
1228,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_37.jpg
1229,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_33.jpg
1230,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_28.jpg
1231,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_12.jpg
1232,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_13.jpg
1233,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_1.jpg
1234,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_9.jpg
1235,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_23.jpg
1236,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_30.jpg
1237,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_11.jpg
1238,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_24.jpg
1239,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_39.jpg
1240,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_19.jpg
1241,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_35.jpg
1242,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_4.jpg
1243,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_27.jpg
1244,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_34.jpg
1245,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_14.jpg
1246,10x,2024-03-0713_00_01,2024-03-0713_00_01-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_00_01/node-0/x=32581_y=3971_w=2099_h=1484/patch_2.jpg
1247,10x,2024-03-0713_12_49,2024-03-0713_12_49-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_12_49/node-0/x=57137_y=13224_w=2012_h=1532/patch_5.jpg
1248,10x,2024-03-0713_12_49,2024-03-0713_12_49-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_12_49/node-0/x=57137_y=13224_w=2012_h=1532/patch_31.jpg
1249,10x,2024-03-0713_12_49,2024-03-0713_12_49-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_12_49/node-0/x=57137_y=13224_w=2012_h=1532/patch_15.jpg
1250,10x,2024-03-0713_12_49,2024-03-0713_12_49-node-0,bf_normal,multi_centers/patch_use/nandafuyi_patches/fs/negative-10X/2024-03-0713_12_49/node-0/x=57137_y=13224_w=2012_h=1532/patch_18.jpg
