ID,Resolution,WSI,Node,Class,Image_path,Center
1,4x,2024-03-0716_57_28B20-4496A1,2024-03-0716_57_28B20-4496A1-node-0,bf_micro,multi_centers/patch_use/nandafuyi_patches/fs/micro-4X/2024-03-0716_57_28B20-4496A1/node-0/x=68446_y=18541_w=4626_h=3074/patch_66.jpg,nandafuyi
2,4x,2024-03-0716_57_28B20-4496A1,2024-03-0716_57_28B20-4496A1-node-0,bf_micro,multi_centers/patch_use/nandafuyi_patches/fs/micro-4X/2024-03-0716_57_28B20-4496A1/node-0/x=68446_y=18541_w=4626_h=3074/patch_44.jpg,nandafuyi
3,4x,2024-03-0716_57_28B20-4496A1,2024-03-0716_57_28B20-4496A1-node-0,bf_micro,multi_centers/patch_use/nandafuyi_patches/fs/micro-4X/2024-03-0716_57_28B20-4496A1/node-0/x=68446_y=18541_w=4626_h=3074/patch_52.jpg,nandafuyi
4,4x,2024-03-0716_57_28B20-4496A1,2024-03-0716_57_28B20-4496A1-node-0,bf_micro,multi_centers/patch_use/nandafuyi_patches/fs/micro-4X/2024-03-0716_57_28B20-4496A1/node-0/x=68446_y=18541_w=4626_h=3074/patch_45.jpg,nandafuyi
5,4x,2024-03-0716_57_28B20-4496A1,2024-03-0716_57_28B20-4496A1-node-0,bf_micro,multi_centers/patch_use/nandafuyi_patches/fs/micro-4X/2024-03-0716_57_28B20-4496A1/node-0/x=68446_y=18541_w=4626_h=3074/patch_31.jpg,nandafuyi
6,4x,2024-03-0716_57_28B20-4496A1,2024-03-0716_57_28B20-4496A1-node-0,bf_micro,multi_centers/patch_use/nandafuyi_patches/fs/micro-4X/2024-03-0716_57_28B20-4496A1/node-0/x=68446_y=18541_w=4626_h=3074/patch_65.jpg,nandafuyi
7,4x,2024-03-0716_57_28B20-4496A1,2024-03-0716_57_28B20-4496A1-node-0,bf_micro,multi_centers/patch_use/nandafuyi_patches/fs/micro-4X/2024-03-0716_57_28B20-4496A1/node-0/x=68446_y=18541_w=4626_h=3074/patch_15.jpg,nandafuyi
8,4x,2024-03-0716_57_28B20-4496A1,2024-03-0716_57_28B20-4496A1-node-0,bf_micro,multi_centers/patch_use/nandafuyi_patches/fs/micro-4X/2024-03-0716_57_28B20-4496A1/node-0/x=68446_y=18541_w=4626_h=3074/patch_32.jpg,nandafuyi
9,4x,2024-03-0716_57_28B20-4496A1,2024-03-0716_57_28B20-4496A1-node-0,bf_micro,multi_centers/patch_use/nandafuyi_patches/fs/micro-4X/2024-03-0716_57_28B20-4496A1/node-0/x=68446_y=18541_w=4626_h=3074/patch_51.jpg,nandafuyi
10,4x,2024-03-0716_57_28B20-4496A1,2024-03-0716_57_28B20-4496A1-node-0,bf_micro,multi_centers/patch_use/nandafuyi_patches/fs/micro-4X/2024-03-0716_57_28B20-4496A1/node-0/x=68446_y=18541_w=4626_h=3074/patch_42.jpg,nandafuyi
11,4x,2024-03-0716_57_28B20-4496A1,2024-03-0716_57_28B20-4496A1-node-0,bf_micro,multi_centers/patch_use/nandafuyi_patches/fs/micro-4X/2024-03-0716_57_28B20-4496A1/node-0/x=68446_y=18541_w=4626_h=3074/patch_21.jpg,nandafuyi
12,4x,2024-03-0716_57_28B20-4496A1,2024-03-0716_57_28B20-4496A1-node-0,bf_micro,multi_centers/patch_use/nandafuyi_patches/fs/micro-4X/2024-03-0716_57_28B20-4496A1/node-0/x=68446_y=18541_w=4626_h=3074/patch_78.jpg,nandafuyi
13,4x,2024-03-0716_57_28B20-4496A1,2024-03-0716_57_28B20-4496A1-node-0,bf_micro,multi_centers/patch_use/nandafuyi_patches/fs/micro-4X/2024-03-0716_57_28B20-4496A1/node-0/x=68446_y=18541_w=4626_h=3074/patch_16.jpg,nandafuyi
14,4x,2024-03-0716_57_28B20-4496A1,2024-03-0716_57_28B20-4496A1-node-0,bf_micro,multi_centers/patch_use/nandafuyi_patches/fs/micro-4X/2024-03-0716_57_28B20-4496A1/node-0/x=68446_y=18541_w=4626_h=3074/patch_29.jpg,nandafuyi
15,4x,2024-03-0716_57_28B20-4496A1,2024-03-0716_57_28B20-4496A1-node-0,bf_micro,multi_centers/patch_use/nandafuyi_patches/fs/micro-4X/2024-03-0716_57_28B20-4496A1/node-0/x=68446_y=18541_w=4626_h=3074/patch_17.jpg,nandafuyi
16,4x,2024-03-0716_57_28B20-4496A1,2024-03-0716_57_28B20-4496A1-node-0,bf_micro,multi_centers/patch_use/nandafuyi_patches/fs/micro-4X/2024-03-0716_57_28B20-4496A1/node-0/x=68446_y=18541_w=4626_h=3074/patch_20.jpg,nandafuyi
17,4x,2024-03-0716_57_28B20-4496A1,2024-03-0716_57_28B20-4496A1-node-0,bf_micro,multi_centers/patch_use/nandafuyi_patches/fs/micro-4X/2024-03-0716_57_28B20-4496A1/node-0/x=68446_y=18541_w=4626_h=3074/patch_64.jpg,nandafuyi
