ID,Resolution,WSI,Node,Class,Image_path,Center
3124,10x,2024-03-0710_39_16,2024-03-0710_39_16-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_39_16/node-0/x=12403_y=9022_w=2146_h=1557/patch_4.jpg,nandafuyi
3110,10x,2024-03-0710_39_16,2024-03-0710_39_16-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_39_16/node-0/x=12403_y=9022_w=2146_h=1557/patch_28.jpg,nandafuyi
3111,10x,2024-03-0710_39_16,2024-03-0710_39_16-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_39_16/node-0/x=12403_y=9022_w=2146_h=1557/patch_12.jpg,nandafuyi
3128,10x,2024-03-0710_39_16,2024-03-0710_39_16-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_39_16/node-0/x=12403_y=9022_w=2146_h=1557/patch_14.jpg,nandafuyi
3120,10x,2024-03-0710_39_16,2024-03-0710_39_16-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_39_16/node-0/x=12403_y=9022_w=2146_h=1557/patch_24.jpg,nandafuyi
3126,10x,2024-03-0710_39_16,2024-03-0710_39_16-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_39_16/node-0/x=12403_y=9022_w=2146_h=1557/patch_41.jpg,nandafuyi
3089,10x,2024-03-0710_39_16,2024-03-0710_39_16-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_39_16/node-0/x=12403_y=9022_w=2146_h=1557/patch_45.jpg,nandafuyi
3097,10x,2024-03-0710_39_16,2024-03-0710_39_16-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_39_16/node-0/x=12403_y=9022_w=2146_h=1557/patch_21.jpg,nandafuyi
3093,10x,2024-03-0710_39_16,2024-03-0710_39_16-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_39_16/node-0/x=12403_y=9022_w=2146_h=1557/patch_32.jpg,nandafuyi
3088,10x,2024-03-0710_39_16,2024-03-0710_39_16-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_39_16/node-0/x=12403_y=9022_w=2146_h=1557/patch_38.jpg,nandafuyi
3091,10x,2024-03-0710_39_16,2024-03-0710_39_16-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_39_16/node-0/x=12403_y=9022_w=2146_h=1557/patch_15.jpg,nandafuyi
3109,10x,2024-03-0710_39_16,2024-03-0710_39_16-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_39_16/node-0/x=12403_y=9022_w=2146_h=1557/patch_33.jpg,nandafuyi
3117,10x,2024-03-0710_39_16,2024-03-0710_39_16-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_39_16/node-0/x=12403_y=9022_w=2146_h=1557/patch_7.jpg,nandafuyi
3104,10x,2024-03-0710_39_16,2024-03-0710_39_16-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_39_16/node-0/x=12403_y=9022_w=2146_h=1557/patch_17.jpg,nandafuyi
3102,10x,2024-03-0710_39_16,2024-03-0710_39_16-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_39_16/node-0/x=12403_y=9022_w=2146_h=1557/patch_16.jpg,nandafuyi
3098,10x,2024-03-0710_39_16,2024-03-0710_39_16-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_39_16/node-0/x=12403_y=9022_w=2146_h=1557/patch_25.jpg,nandafuyi
3127,10x,2024-03-0710_39_16,2024-03-0710_39_16-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_39_16/node-0/x=12403_y=9022_w=2146_h=1557/patch_34.jpg,nandafuyi
3100,10x,2024-03-0710_39_16,2024-03-0710_39_16-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_39_16/node-0/x=12403_y=9022_w=2146_h=1557/patch_6.jpg,nandafuyi
3094,10x,2024-03-0710_39_16,2024-03-0710_39_16-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_39_16/node-0/x=12403_y=9022_w=2146_h=1557/patch_42.jpg,nandafuyi
3101,10x,2024-03-0710_39_16,2024-03-0710_39_16-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_39_16/node-0/x=12403_y=9022_w=2146_h=1557/patch_22.jpg,nandafuyi
3122,10x,2024-03-0710_39_16,2024-03-0710_39_16-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_39_16/node-0/x=12403_y=9022_w=2146_h=1557/patch_19.jpg,nandafuyi
3116,10x,2024-03-0710_39_16,2024-03-0710_39_16-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_39_16/node-0/x=12403_y=9022_w=2146_h=1557/patch_30.jpg,nandafuyi
3112,10x,2024-03-0710_39_16,2024-03-0710_39_16-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_39_16/node-0/x=12403_y=9022_w=2146_h=1557/patch_13.jpg,nandafuyi
3085,10x,2024-03-0710_39_16,2024-03-0710_39_16-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_39_16/node-0/x=12403_y=9022_w=2146_h=1557/patch_44.jpg,nandafuyi
