ID,Resolution,WSI,Node,Class,Image_path,Center
2915,10x,2024-03-0710_58_40,2024-03-0710_58_40-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_58_40/node-0/x=8311_y=13842_w=2058_h=1480/patch_20.jpg,nandafuyi
2911,10x,2024-03-0710_58_40,2024-03-0710_58_40-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_58_40/node-0/x=8311_y=13842_w=2058_h=1480/patch_16.jpg,nandafuyi
2902,10x,2024-03-0710_58_40,2024-03-0710_58_40-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_58_40/node-0/x=8311_y=13842_w=2058_h=1480/patch_18.jpg,nandafuyi
2927,10x,2024-03-0710_58_40,2024-03-0710_58_40-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_58_40/node-0/x=8311_y=13842_w=2058_h=1480/patch_24.jpg,nandafuyi
2933,10x,2024-03-0710_58_40,2024-03-0710_58_40-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_58_40/node-0/x=8311_y=13842_w=2058_h=1480/patch_14.jpg,nandafuyi
2923,10x,2024-03-0710_58_40,2024-03-0710_58_40-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_58_40/node-0/x=8311_y=13842_w=2058_h=1480/patch_23.jpg,nandafuyi
2904,10x,2024-03-0710_58_40,2024-03-0710_58_40-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_58_40/node-0/x=8311_y=13842_w=2058_h=1480/patch_26.jpg,nandafuyi
2924,10x,2024-03-0710_58_40,2024-03-0710_58_40-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_58_40/node-0/x=8311_y=13842_w=2058_h=1480/patch_30.jpg,nandafuyi
2922,10x,2024-03-0710_58_40,2024-03-0710_58_40-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_58_40/node-0/x=8311_y=13842_w=2058_h=1480/patch_9.jpg,nandafuyi
2914,10x,2024-03-0710_58_40,2024-03-0710_58_40-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_58_40/node-0/x=8311_y=13842_w=2058_h=1480/patch_3.jpg,nandafuyi
2906,10x,2024-03-0710_58_40,2024-03-0710_58_40-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_58_40/node-0/x=8311_y=13842_w=2058_h=1480/patch_21.jpg,nandafuyi
2913,10x,2024-03-0710_58_40,2024-03-0710_58_40-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_58_40/node-0/x=8311_y=13842_w=2058_h=1480/patch_17.jpg,nandafuyi
2910,10x,2024-03-0710_58_40,2024-03-0710_58_40-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_58_40/node-0/x=8311_y=13842_w=2058_h=1480/patch_22.jpg,nandafuyi
2930,10x,2024-03-0710_58_40,2024-03-0710_58_40-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_58_40/node-0/x=8311_y=13842_w=2058_h=1480/patch_4.jpg,nandafuyi
2907,10x,2024-03-0710_58_40,2024-03-0710_58_40-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_58_40/node-0/x=8311_y=13842_w=2058_h=1480/patch_25.jpg,nandafuyi
2917,10x,2024-03-0710_58_40,2024-03-0710_58_40-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_58_40/node-0/x=8311_y=13842_w=2058_h=1480/patch_33.jpg,nandafuyi
2898,10x,2024-03-0710_58_40,2024-03-0710_58_40-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_58_40/node-0/x=8311_y=13842_w=2058_h=1480/patch_5.jpg,nandafuyi
2929,10x,2024-03-0710_58_40,2024-03-0710_58_40-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_58_40/node-0/x=8311_y=13842_w=2058_h=1480/patch_35.jpg,nandafuyi
2903,10x,2024-03-0710_58_40,2024-03-0710_58_40-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_58_40/node-0/x=8311_y=13842_w=2058_h=1480/patch_32.jpg,nandafuyi
2909,10x,2024-03-0710_58_40,2024-03-0710_58_40-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_58_40/node-0/x=8311_y=13842_w=2058_h=1480/patch_6.jpg,nandafuyi
2899,10x,2024-03-0710_58_40,2024-03-0710_58_40-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_58_40/node-0/x=8311_y=13842_w=2058_h=1480/patch_36.jpg,nandafuyi
2925,10x,2024-03-0710_58_40,2024-03-0710_58_40-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_58_40/node-0/x=8311_y=13842_w=2058_h=1480/patch_7.jpg,nandafuyi
2919,10x,2024-03-0710_58_40,2024-03-0710_58_40-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_58_40/node-0/x=8311_y=13842_w=2058_h=1480/patch_12.jpg,nandafuyi
2900,10x,2024-03-0710_58_40,2024-03-0710_58_40-node-0,ffpe_normal,multi_centers/patch_use/nandafuyi_patches/ffpe/negative-10X/2024-03-0710_58_40/node-0/x=8311_y=13842_w=2058_h=1480/patch_31.jpg,nandafuyi
