ID,Resolution,WSI,Node,Class,Image_path,Center
188,4x,2024-03-0818_26_27,2024-03-0818_26_27-node-0,ffpe_micro,multi_centers/patch_use/nandafuyi_patches/ffpe/micro-4X/2024-03-0818_26_27/node-0/x=64064_y=19314_w=4503_h=3007/patch_15.jpg,nandafuyi
189,4x,2024-03-0818_26_27,2024-03-0818_26_27-node-0,ffpe_micro,multi_centers/patch_use/nandafuyi_patches/ffpe/micro-4X/2024-03-0818_26_27/node-0/x=64064_y=19314_w=4503_h=3007/patch_26.jpg,nandafuyi
190,4x,2024-03-0818_26_27,2024-03-0818_26_27-node-0,ffpe_micro,multi_centers/patch_use/nandafuyi_patches/ffpe/micro-4X/2024-03-0818_26_27/node-0/x=64064_y=19314_w=4503_h=3007/patch_27.jpg,nandafuyi
191,4x,2024-03-0818_26_27,2024-03-0818_26_27-node-0,ffpe_micro,multi_centers/patch_use/nandafuyi_patches/ffpe/micro-4X/2024-03-0818_26_27/node-0/x=68830_y=19926_w=4503_h=3007/patch_36.jpg,nandafuyi
192,4x,2024-03-0818_26_27,2024-03-0818_26_27-node-0,ffpe_micro,multi_centers/patch_use/nandafuyi_patches/ffpe/micro-4X/2024-03-0818_26_27/node-0/x=68830_y=19926_w=4503_h=3007/patch_15.jpg,nandafuyi
193,4x,2024-03-0818_26_27,2024-03-0818_26_27-node-0,ffpe_micro,multi_centers/patch_use/nandafuyi_patches/ffpe/micro-4X/2024-03-0818_26_27/node-0/x=68830_y=19926_w=4503_h=3007/patch_26.jpg,nandafuyi
194,4x,2024-03-0818_26_27,2024-03-0818_26_27-node-0,ffpe_micro,multi_centers/patch_use/nandafuyi_patches/ffpe/micro-4X/2024-03-0818_26_27/node-0/x=68830_y=19926_w=4503_h=3007/patch_25.jpg,nandafuyi
195,4x,2024-03-0818_26_27,2024-03-0818_26_27-node-0,ffpe_micro,multi_centers/patch_use/nandafuyi_patches/ffpe/micro-4X/2024-03-0818_26_27/node-0/x=68830_y=19926_w=4503_h=3007/patch_16.jpg,nandafuyi
196,4x,2024-03-0818_26_27,2024-03-0818_26_27-node-0,ffpe_micro,multi_centers/patch_use/nandafuyi_patches/ffpe/micro-4X/2024-03-0818_26_27/node-0/x=68830_y=19926_w=4503_h=3007/patch_13.jpg,nandafuyi
197,4x,2024-03-0818_26_27,2024-03-0818_26_27-node-0,ffpe_micro,multi_centers/patch_use/nandafuyi_patches/ffpe/micro-4X/2024-03-0818_26_27/node-0/x=68830_y=19926_w=4503_h=3007/patch_24.jpg,nandafuyi
198,4x,2024-03-0818_26_27,2024-03-0818_26_27-node-0,ffpe_micro,multi_centers/patch_use/nandafuyi_patches/ffpe/micro-4X/2024-03-0818_26_27/node-0/x=68830_y=19926_w=4503_h=3007/patch_4.jpg,nandafuyi
199,4x,2024-03-0818_26_27,2024-03-0818_26_27-node-0,ffpe_micro,multi_centers/patch_use/nandafuyi_patches/ffpe/micro-4X/2024-03-0818_26_27/node-0/x=68830_y=19926_w=4503_h=3007/patch_27.jpg,nandafuyi
200,4x,2024-03-0818_26_27,2024-03-0818_26_27-node-0,ffpe_micro,multi_centers/patch_use/nandafuyi_patches/ffpe/micro-4X/2024-03-0818_26_27/node-0/x=68830_y=19926_w=4503_h=3007/patch_14.jpg,nandafuyi
270,4x,2024-03-0814_27_31,2024-03-0814_27_31-node-0,ffpe_micro,multi_centers/patch_use/nandafuyi_patches/ffpe/micro-4X/2024-03-0814_27_31/node-0/x=20547_y=17260_w=4697_h=3073/patch_69.jpg,nandafuyi
271,4x,2024-03-0814_27_31,2024-03-0814_27_31-node-0,ffpe_micro,multi_centers/patch_use/nandafuyi_patches/ffpe/micro-4X/2024-03-0814_27_31/node-0/x=20547_y=17260_w=4697_h=3073/patch_81.jpg,nandafuyi
272,4x,2024-03-0814_27_31,2024-03-0814_27_31-node-0,ffpe_micro,multi_centers/patch_use/nandafuyi_patches/ffpe/micro-4X/2024-03-0814_27_31/node-0/x=20547_y=17260_w=4697_h=3073/patch_92.jpg,nandafuyi
273,4x,2024-03-0814_27_31,2024-03-0814_27_31-node-0,ffpe_micro,multi_centers/patch_use/nandafuyi_patches/ffpe/micro-4X/2024-03-0814_27_31/node-0/x=20547_y=17260_w=4697_h=3073/patch_68.jpg,nandafuyi
274,4x,2024-03-0814_27_31,2024-03-0814_27_31-node-0,ffpe_micro,multi_centers/patch_use/nandafuyi_patches/ffpe/micro-4X/2024-03-0814_27_31/node-0/x=20547_y=17260_w=4697_h=3073/patch_91.jpg,nandafuyi
275,4x,2024-03-0814_27_31,2024-03-0814_27_31-node-0,ffpe_micro,multi_centers/patch_use/nandafuyi_patches/ffpe/micro-4X/2024-03-0814_27_31/node-0/x=20547_y=17260_w=4697_h=3073/patch_80.jpg,nandafuyi
276,4x,2024-03-0814_27_31,2024-03-0814_27_31-node-0,ffpe_micro,multi_centers/patch_use/nandafuyi_patches/ffpe/micro-4X/2024-03-0814_27_31/node-0/x=21048_y=13665_w=4697_h=3073/patch_88.jpg,nandafuyi
277,4x,2024-03-0814_27_31,2024-03-0814_27_31-node-0,ffpe_micro,multi_centers/patch_use/nandafuyi_patches/ffpe/micro-4X/2024-03-0814_27_31/node-0/x=21048_y=13665_w=4697_h=3073/patch_76.jpg,nandafuyi
278,4x,2024-03-0814_27_31,2024-03-0814_27_31-node-0,ffpe_micro,multi_centers/patch_use/nandafuyi_patches/ffpe/micro-4X/2024-03-0814_27_31/node-0/x=21048_y=13665_w=4697_h=3073/patch_77.jpg,nandafuyi
279,4x,2024-03-0814_27_31,2024-03-0814_27_31-node-0,ffpe_micro,multi_centers/patch_use/nandafuyi_patches/ffpe/micro-4X/2024-03-0814_27_31/node-0/x=21048_y=13665_w=4697_h=3073/patch_89.jpg,nandafuyi
281,4x,2024-03-0816_25_50,2024-03-0816_25_50-node-0,ffpe_micro,multi_centers/patch_use/nandafuyi_patches/ffpe/micro-4X/2024-03-0816_25_50/node-0/x=45183_y=9165_w=4789_h=3147/patch_66.jpg,nandafuyi
282,4x,2024-03-0816_25_50,2024-03-0816_25_50-node-0,ffpe_micro,multi_centers/patch_use/nandafuyi_patches/ffpe/micro-4X/2024-03-0816_25_50/node-0/x=45183_y=9165_w=4789_h=3147/patch_52.jpg,nandafuyi
283,4x,2024-03-0816_25_50,2024-03-0816_25_50-node-0,ffpe_micro,multi_centers/patch_use/nandafuyi_patches/ffpe/micro-4X/2024-03-0816_25_50/node-0/x=45183_y=9165_w=4789_h=3147/patch_65.jpg,nandafuyi
284,4x,2024-03-0816_25_50,2024-03-0816_25_50-node-0,ffpe_micro,multi_centers/patch_use/nandafuyi_patches/ffpe/micro-4X/2024-03-0816_25_50/node-0/x=45183_y=9165_w=4789_h=3147/patch_18.jpg,nandafuyi
