ID,Resolution,WSI,Node,Class,Image_path,Center
1,4x,2024-03-0818_12_20,2024-03-0818_12_20-node-0,ffpe_micro,multi_centers/patch_use/nandafuyi_patches/ffpe/micro-4X/2024-03-0818_12_20/node-0/x=44085_y=6008_w=4366_h=3122/patch_36.jpg,nandafuyi
2,4x,2024-03-0818_12_20,2024-03-0818_12_20-node-0,ffpe_micro,multi_centers/patch_use/nandafuyi_patches/ffpe/micro-4X/2024-03-0818_12_20/node-0/x=44085_y=6008_w=4366_h=3122/patch_38.jpg,nandafuyi
3,4x,2024-03-0818_12_20,2024-03-0818_12_20-node-0,ffpe_micro,multi_centers/patch_use/nandafuyi_patches/ffpe/micro-4X/2024-03-0818_12_20/node-0/x=44085_y=6008_w=4366_h=3122/patch_15.jpg,nandafuyi
4,4x,2024-03-0818_12_20,2024-03-0818_12_20-node-0,ffpe_micro,multi_centers/patch_use/nandafuyi_patches/ffpe/micro-4X/2024-03-0818_12_20/node-0/x=44085_y=6008_w=4366_h=3122/patch_47.jpg,nandafuyi
5,4x,2024-03-0818_12_20,2024-03-0818_12_20-node-0,ffpe_micro,multi_centers/patch_use/nandafuyi_patches/ffpe/micro-4X/2024-03-0818_12_20/node-0/x=44085_y=6008_w=4366_h=3122/patch_26.jpg,nandafuyi
6,4x,2024-03-0818_12_20,2024-03-0818_12_20-node-0,ffpe_micro,multi_centers/patch_use/nandafuyi_patches/ffpe/micro-4X/2024-03-0818_12_20/node-0/x=44085_y=6008_w=4366_h=3122/patch_81.jpg,nandafuyi
7,4x,2024-03-0818_12_20,2024-03-0818_12_20-node-0,ffpe_micro,multi_centers/patch_use/nandafuyi_patches/ffpe/micro-4X/2024-03-0818_12_20/node-0/x=44085_y=6008_w=4366_h=3122/patch_25.jpg,nandafuyi
8,4x,2024-03-0818_12_20,2024-03-0818_12_20-node-0,ffpe_micro,multi_centers/patch_use/nandafuyi_patches/ffpe/micro-4X/2024-03-0818_12_20/node-0/x=44085_y=6008_w=4366_h=3122/patch_37.jpg,nandafuyi
9,4x,2024-03-0818_12_20,2024-03-0818_12_20-node-0,ffpe_micro,multi_centers/patch_use/nandafuyi_patches/ffpe/micro-4X/2024-03-0818_12_20/node-0/x=44085_y=6008_w=4366_h=3122/patch_49.jpg,nandafuyi
10,4x,2024-03-0818_12_20,2024-03-0818_12_20-node-0,ffpe_micro,multi_centers/patch_use/nandafuyi_patches/ffpe/micro-4X/2024-03-0818_12_20/node-0/x=44085_y=6008_w=4366_h=3122/patch_58.jpg,nandafuyi
