ID,Resolution,WSI,Node,Class,Image_path
1379,10x,FN126267-2023-11-25_11_08_11,FN126267-2023-11-25_11_08_11-node-1,bf_micro,multi_centers/patch_use/zhongshan/fs/micro-10X/FN126267-2023-11-25_11_08_11/node-1/x=41692_y=20458_w=3340_h=2363/patch_62.jpg
1380,10x,FN126267-2023-11-25_11_08_11,FN126267-2023-11-25_11_08_11-node-1,bf_micro,multi_centers/patch_use/zhongshan/fs/micro-10X/FN126267-2023-11-25_11_08_11/node-1/x=41692_y=20458_w=3340_h=2363/patch_87.jpg
1381,10x,FN126267-2023-11-25_11_08_11,FN126267-2023-11-25_11_08_11-node-1,bf_micro,multi_centers/patch_use/zhongshan/fs/micro-10X/FN126267-2023-11-25_11_08_11/node-1/x=41692_y=20458_w=3340_h=2363/patch_101.jpg
1382,10x,FN126267-2023-11-25_11_08_11,FN126267-2023-11-25_11_08_11-node-1,bf_micro,multi_centers/patch_use/zhongshan/fs/micro-10X/FN126267-2023-11-25_11_08_11/node-1/x=41692_y=20458_w=3340_h=2363/patch_21.jpg
1383,10x,FN126267-2023-11-25_11_08_11,FN126267-2023-11-25_11_08_11-node-1,bf_micro,multi_centers/patch_use/zhongshan/fs/micro-10X/FN126267-2023-11-25_11_08_11/node-1/x=41692_y=20458_w=3340_h=2363/patch_88.jpg
1384,10x,FN126267-2023-11-25_11_08_11,FN126267-2023-11-25_11_08_11-node-1,bf_micro,multi_centers/patch_use/zhongshan/fs/micro-10X/FN126267-2023-11-25_11_08_11/node-1/x=41692_y=20458_w=3340_h=2363/patch_75.jpg
1385,10x,FN126267-2023-11-25_11_08_11,FN126267-2023-11-25_11_08_11-node-1,bf_micro,multi_centers/patch_use/zhongshan/fs/micro-10X/FN126267-2023-11-25_11_08_11/node-1/x=41692_y=20458_w=3340_h=2363/patch_35.jpg
1386,10x,FN126267-2023-11-25_11_08_11,FN126267-2023-11-25_11_08_11-node-1,bf_micro,multi_centers/patch_use/zhongshan/fs/micro-10X/FN126267-2023-11-25_11_08_11/node-1/x=41692_y=20458_w=3340_h=2363/patch_22.jpg
1387,10x,FN113337-2023-11-25_11_43_35,FN113337-2023-11-25_11_43_35-node-1,bf_micro,multi_centers/patch_use/zhongshan/fs/micro-10X/FN113337-2023-11-25_11_43_35/node-1/x=6633_y=13726_w=2997_h=2026/patch_38.jpg
1388,10x,FN113337-2023-11-25_11_43_35,FN113337-2023-11-25_11_43_35-node-1,bf_micro,multi_centers/patch_use/zhongshan/fs/micro-10X/FN113337-2023-11-25_11_43_35/node-1/x=6633_y=13726_w=2997_h=2026/patch_47.jpg
