ID,Resolution,WSI,Node,Class,Image_path
4004,10x,692228-2023-11-25_13_48_45,692228-2023-11-25_13_48_45-node-1,ffpe_micro,multi_centers/patch_use/zhongshan/ffpe/micro-10X/692228-2023-11-25_13_48_45/node-1/x=12946_y=6338_w=2829_h=1936/patch_31.jpg
4005,10x,692228-2023-11-25_13_48_45,692228-2023-11-25_13_48_45-node-1,ffpe_micro,multi_centers/patch_use/zhongshan/ffpe/micro-10X/692228-2023-11-25_13_48_45/node-1/x=12946_y=6338_w=2829_h=1936/patch_7.jpg
4006,10x,692228-2023-11-25_13_48_45,692228-2023-11-25_13_48_45-node-1,ffpe_micro,multi_centers/patch_use/zhongshan/ffpe/micro-10X/692228-2023-11-25_13_48_45/node-1/x=12946_y=6338_w=2829_h=1936/patch_6.jpg
4007,10x,692228-2023-11-25_13_48_45,692228-2023-11-25_13_48_45-node-1,ffpe_micro,multi_centers/patch_use/zhongshan/ffpe/micro-10X/692228-2023-11-25_13_48_45/node-1/x=12946_y=6338_w=2829_h=1936/patch_8.jpg
4008,10x,692228-2023-11-25_13_48_45,692228-2023-11-25_13_48_45-node-1,ffpe_micro,multi_centers/patch_use/zhongshan/ffpe/micro-10X/692228-2023-11-25_13_48_45/node-1/x=12946_y=6338_w=2829_h=1936/patch_15.jpg
4009,10x,692228-2023-11-25_13_48_45,692228-2023-11-25_13_48_45-node-1,ffpe_micro,multi_centers/patch_use/zhongshan/ffpe/micro-10X/692228-2023-11-25_13_48_45/node-1/x=12946_y=6338_w=2829_h=1936/patch_28.jpg
4010,10x,692228-2023-11-25_13_48_45,692228-2023-11-25_13_48_45-node-1,ffpe_micro,multi_centers/patch_use/zhongshan/ffpe/micro-10X/692228-2023-11-25_13_48_45/node-1/x=12946_y=6338_w=2829_h=1936/patch_17.jpg
4011,10x,692228-2023-11-25_13_48_45,692228-2023-11-25_13_48_45-node-1,ffpe_micro,multi_centers/patch_use/zhongshan/ffpe/micro-10X/692228-2023-11-25_13_48_45/node-1/x=12946_y=6338_w=2829_h=1936/patch_21.jpg
4012,10x,692228-2023-11-25_13_48_45,692228-2023-11-25_13_48_45-node-1,ffpe_micro,multi_centers/patch_use/zhongshan/ffpe/micro-10X/692228-2023-11-25_13_48_45/node-1/x=12946_y=6338_w=2829_h=1936/patch_16.jpg
4013,10x,692228-2023-11-25_13_48_45,692228-2023-11-25_13_48_45-node-1,ffpe_micro,multi_centers/patch_use/zhongshan/ffpe/micro-10X/692228-2023-11-25_13_48_45/node-1/x=12946_y=6338_w=2829_h=1936/patch_18.jpg
4014,10x,692228-2023-11-25_13_48_45,692228-2023-11-25_13_48_45-node-1,ffpe_micro,multi_centers/patch_use/zhongshan/ffpe/micro-10X/692228-2023-11-25_13_48_45/node-1/x=12946_y=6338_w=2829_h=1936/patch_29.jpg
4015,10x,692228-2023-11-25_13_48_45,692228-2023-11-25_13_48_45-node-1,ffpe_micro,multi_centers/patch_use/zhongshan/ffpe/micro-10X/692228-2023-11-25_13_48_45/node-1/x=12946_y=6338_w=2829_h=1936/patch_42.jpg
4016,10x,692228-2023-11-25_13_48_45,692228-2023-11-25_13_48_45-node-1,ffpe_micro,multi_centers/patch_use/zhongshan/ffpe/micro-10X/692228-2023-11-25_13_48_45/node-1/x=12946_y=6338_w=2829_h=1936/patch_13.jpg
4017,10x,692228-2023-11-25_13_48_45,692228-2023-11-25_13_48_45-node-1,ffpe_micro,multi_centers/patch_use/zhongshan/ffpe/micro-10X/692228-2023-11-25_13_48_45/node-1/x=12946_y=6338_w=2829_h=1936/patch_14.jpg
4018,10x,692228-2023-11-25_13_48_45,692228-2023-11-25_13_48_45-node-1,ffpe_micro,multi_centers/patch_use/zhongshan/ffpe/micro-10X/692228-2023-11-25_13_48_45/node-1/x=12946_y=6338_w=2829_h=1936/patch_5.jpg
4019,10x,692228-2023-11-25_13_48_45,692228-2023-11-25_13_48_45-node-1,ffpe_micro,multi_centers/patch_use/zhongshan/ffpe/micro-10X/692228-2023-11-25_13_48_45/node-1/x=12946_y=6338_w=2829_h=1936/patch_20.jpg
4020,10x,692228-2023-11-25_13_48_45,692228-2023-11-25_13_48_45-node-1,ffpe_micro,multi_centers/patch_use/zhongshan/ffpe/micro-10X/692228-2023-11-25_13_48_45/node-1/x=12946_y=6338_w=2829_h=1936/patch_30.jpg
4021,10x,692228-2023-11-25_13_48_45,692228-2023-11-25_13_48_45-node-1,ffpe_micro,multi_centers/patch_use/zhongshan/ffpe/micro-10X/692228-2023-11-25_13_48_45/node-1/x=12946_y=6338_w=2829_h=1936/patch_19.jpg
4022,10x,692228-2023-11-25_13_48_45,692228-2023-11-25_13_48_45-node-1,ffpe_micro,multi_centers/patch_use/zhongshan/ffpe/micro-10X/692228-2023-11-25_13_48_45/node-1/x=12946_y=6338_w=2829_h=1936/patch_10.jpg
