ID,Resolution,WSI,Node,Class,Image_path,Center
1517,10x,FS-N(4),FS-N(4)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-10X/FS-N(4)/node-0/x=7894_y=12261_w=3191_h=2181/patch_66.jpg,zhongshaneryuan
1518,10x,FS-N(4),FS-N(4)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-10X/FS-N(4)/node-0/x=7894_y=12261_w=3191_h=2181/patch_44.jpg,zhongshaneryuan
1519,10x,FS-N(4),FS-N(4)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-10X/FS-N(4)/node-0/x=7894_y=12261_w=3191_h=2181/patch_5.jpg,zhongshaneryuan
1520,10x,FS-N(4),FS-N(4)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-10X/FS-N(4)/node-0/x=7894_y=12261_w=3191_h=2181/patch_52.jpg,zhongshaneryuan
1521,10x,FS-N(4),FS-N(4)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-10X/FS-N(4)/node-0/x=7894_y=12261_w=3191_h=2181/patch_36.jpg,zhongshaneryuan
1522,10x,FS-N(4),FS-N(4)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-10X/FS-N(4)/node-0/x=7894_y=12261_w=3191_h=2181/patch_38.jpg,zhongshaneryuan
1523,10x,FS-N(4),FS-N(4)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-10X/FS-N(4)/node-0/x=7894_y=12261_w=3191_h=2181/patch_62.jpg,zhongshaneryuan
1524,10x,FS-N(4),FS-N(4)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-10X/FS-N(4)/node-0/x=7894_y=12261_w=3191_h=2181/patch_90.jpg,zhongshaneryuan
1525,10x,FS-N(4),FS-N(4)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-10X/FS-N(4)/node-0/x=7894_y=12261_w=3191_h=2181/patch_45.jpg,zhongshaneryuan
1526,10x,FS-N(4),FS-N(4)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-10X/FS-N(4)/node-0/x=7894_y=12261_w=3191_h=2181/patch_31.jpg,zhongshaneryuan
1527,10x,FS-N(4),FS-N(4)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-10X/FS-N(4)/node-0/x=7894_y=12261_w=3191_h=2181/patch_61.jpg,zhongshaneryuan
1528,10x,FS-N(4),FS-N(4)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-10X/FS-N(4)/node-0/x=7894_y=12261_w=3191_h=2181/patch_65.jpg,zhongshaneryuan
