ID,Resolution,WSI,Node,Class,Image_path,Center
243,4x,FS-N(5),FS-N(5)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-4X/FS-N(5)/node-0/x=18739_y=10222_w=8484_h=5890/patch_36.jpg,zhongshaneryuan
302,4x,FS-N(5),FS-N(5)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-4X/FS-N(5)/node-0/x=18739_y=10222_w=8484_h=5890/patch_56.jpg,zhongshaneryuan
257,4x,FS-N(5),FS-N(5)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-4X/FS-N(5)/node-0/x=18739_y=10222_w=8484_h=5890/patch_73.jpg,zhongshaneryuan
239,4x,FS-N(5),FS-N(5)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-4X/FS-N(5)/node-0/x=18739_y=10222_w=8484_h=5890/patch_66.jpg,zhongshaneryuan
267,4x,FS-N(5),FS-N(5)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-4X/FS-N(5)/node-0/x=18739_y=10222_w=8484_h=5890/patch_3.jpg,zhongshaneryuan
311,4x,FS-N(5),FS-N(5)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-4X/FS-N(5)/node-0/x=18739_y=10222_w=8484_h=5890/patch_2.jpg,zhongshaneryuan
249,4x,FS-N(5),FS-N(5)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-4X/FS-N(5)/node-0/x=18739_y=10222_w=8484_h=5890/patch_65.jpg,zhongshaneryuan
273,4x,FS-N(5),FS-N(5)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-4X/FS-N(5)/node-0/x=18739_y=10222_w=8484_h=5890/patch_33.jpg,zhongshaneryuan
251,4x,FS-N(5),FS-N(5)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-4X/FS-N(5)/node-0/x=18739_y=10222_w=8484_h=5890/patch_69.jpg,zhongshaneryuan
294,4x,FS-N(5),FS-N(5)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-4X/FS-N(5)/node-0/x=18739_y=10222_w=8484_h=5890/patch_11.jpg,zhongshaneryuan
304,4x,FS-N(5),FS-N(5)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-4X/FS-N(5)/node-0/x=18739_y=10222_w=8484_h=5890/patch_27.jpg,zhongshaneryuan
270,4x,FS-N(5),FS-N(5)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-4X/FS-N(5)/node-0/x=18739_y=10222_w=8484_h=5890/patch_37.jpg,zhongshaneryuan
248,4x,FS-N(5),FS-N(5)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-4X/FS-N(5)/node-0/x=18739_y=10222_w=8484_h=5890/patch_61.jpg,zhongshaneryuan
284,4x,FS-N(5),FS-N(5)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-4X/FS-N(5)/node-0/x=18739_y=10222_w=8484_h=5890/patch_48.jpg,zhongshaneryuan
244,4x,FS-N(5),FS-N(5)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-4X/FS-N(5)/node-0/x=18739_y=10222_w=8484_h=5890/patch_38.jpg,zhongshaneryuan
261,4x,FS-N(5),FS-N(5)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-4X/FS-N(5)/node-0/x=18739_y=10222_w=8484_h=5890/patch_8.jpg,zhongshaneryuan
296,4x,FS-N(5),FS-N(5)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-4X/FS-N(5)/node-0/x=18739_y=10222_w=8484_h=5890/patch_24.jpg,zhongshaneryuan
289,4x,FS-N(5),FS-N(5)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-4X/FS-N(5)/node-0/x=18739_y=10222_w=8484_h=5890/patch_59.jpg,zhongshaneryuan
272,4x,FS-N(5),FS-N(5)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-4X/FS-N(5)/node-0/x=18739_y=10222_w=8484_h=5890/patch_55.jpg,zhongshaneryuan
278,4x,FS-N(5),FS-N(5)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-4X/FS-N(5)/node-0/x=18739_y=10222_w=8484_h=5890/patch_58.jpg,zhongshaneryuan
309,4x,FS-N(5),FS-N(5)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-4X/FS-N(5)/node-0/x=18739_y=10222_w=8484_h=5890/patch_14.jpg,zhongshaneryuan
255,4x,FS-N(5),FS-N(5)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-4X/FS-N(5)/node-0/x=18739_y=10222_w=8484_h=5890/patch_42.jpg,zhongshaneryuan
274,4x,FS-N(5),FS-N(5)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-4X/FS-N(5)/node-0/x=18739_y=10222_w=8484_h=5890/patch_50.jpg,zhongshaneryuan
283,4x,FS-N(5),FS-N(5)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-4X/FS-N(5)/node-0/x=18739_y=10222_w=8484_h=5890/patch_72.jpg,zhongshaneryuan
300,4x,FS-N(5),FS-N(5)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-4X/FS-N(5)/node-0/x=18739_y=10222_w=8484_h=5890/patch_35.jpg,zhongshaneryuan
246,4x,FS-N(5),FS-N(5)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-4X/FS-N(5)/node-0/x=18739_y=10222_w=8484_h=5890/patch_45.jpg,zhongshaneryuan
295,4x,FS-N(5),FS-N(5)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-4X/FS-N(5)/node-0/x=18739_y=10222_w=8484_h=5890/patch_43.jpg,zhongshaneryuan
281,4x,FS-N(5),FS-N(5)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-4X/FS-N(5)/node-0/x=18739_y=10222_w=8484_h=5890/patch_12.jpg,zhongshaneryuan
269,4x,FS-N(5),FS-N(5)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-4X/FS-N(5)/node-0/x=18739_y=10222_w=8484_h=5890/patch_64.jpg,zhongshaneryuan
286,4x,FS-N(5),FS-N(5)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-4X/FS-N(5)/node-0/x=18739_y=10222_w=8484_h=5890/patch_1.jpg,zhongshaneryuan
288,4x,FS-N(5),FS-N(5)-node-0,bf_normal,multi_centers/patch_use/zhongshaneryuan_patches/fs/negative-4X/FS-N(5)/node-0/x=18739_y=10222_w=8484_h=5890/patch_30.jpg,zhongshaneryuan
