ID,Resolution,WSI,Node,Class,Image_path,Center
1,4x,SF-P(14),SF-P(14)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(14)/node-0/x=2842_y=4508_w=9007_h=6067/patch_38.jpg,zhongshaneryuan
2,4x,SF-P(14),SF-P(14)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(14)/node-0/x=2842_y=4508_w=9007_h=6067/patch_26.jpg,zhongshaneryuan
3,4x,SF-P(14),SF-P(14)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(14)/node-0/x=2842_y=4508_w=9007_h=6067/patch_37.jpg,zhongshaneryuan
4,4x,SF-P(14),SF-P(14)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(14)/node-0/x=2842_y=4508_w=9007_h=6067/patch_49.jpg,zhongshaneryuan
5,4x,SF-P(14),SF-P(14)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(14)/node-0/x=2842_y=4508_w=9007_h=6067/patch_28.jpg,zhongshaneryuan
6,4x,SF-P(14),SF-P(14)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(14)/node-0/x=2842_y=4508_w=9007_h=6067/patch_48.jpg,zhongshaneryuan
7,4x,SF-P(14),SF-P(14)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(14)/node-0/x=2842_y=4508_w=9007_h=6067/patch_39.jpg,zhongshaneryuan
8,4x,SF-P(14),SF-P(14)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(14)/node-0/x=2842_y=4508_w=9007_h=6067/patch_60.jpg,zhongshaneryuan
9,4x,SF-P(14),SF-P(14)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(14)/node-0/x=2842_y=4508_w=9007_h=6067/patch_27.jpg,zhongshaneryuan
10,4x,SF-P(23),SF-P(23)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(23)/node-0/x=17368_y=10965_w=8437_h=5596/patch_36.jpg,zhongshaneryuan
11,4x,SF-P(23),SF-P(23)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(23)/node-0/x=17368_y=10965_w=8437_h=5596/patch_26.jpg,zhongshaneryuan
12,4x,SF-P(23),SF-P(23)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(23)/node-0/x=17368_y=10965_w=8437_h=5596/patch_17.jpg,zhongshaneryuan
13,4x,SF-P(23),SF-P(23)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(23)/node-0/x=17368_y=10965_w=8437_h=5596/patch_35.jpg,zhongshaneryuan
14,4x,SF-P(23),SF-P(23)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(23)/node-0/x=17368_y=10965_w=8437_h=5596/patch_27.jpg,zhongshaneryuan
15,4x,SF-P(27),SF-P(27)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(27)/node-0/x=5118_y=15277_w=8840_h=5951/patch_38.jpg,zhongshaneryuan
16,4x,SF-P(27),SF-P(27)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(27)/node-0/x=5118_y=15277_w=8840_h=5951/patch_47.jpg,zhongshaneryuan
17,4x,SF-P(27),SF-P(27)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(27)/node-0/x=5118_y=15277_w=8840_h=5951/patch_50.jpg,zhongshaneryuan
18,4x,SF-P(27),SF-P(27)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(27)/node-0/x=5118_y=15277_w=8840_h=5951/patch_49.jpg,zhongshaneryuan
19,4x,SF-P(27),SF-P(27)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(27)/node-0/x=5118_y=15277_w=8840_h=5951/patch_48.jpg,zhongshaneryuan
20,4x,SF-P(27),SF-P(27)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(27)/node-0/x=5118_y=15277_w=8840_h=5951/patch_39.jpg,zhongshaneryuan
21,4x,SF-P(29),SF-P(29)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(29)/node-0/x=3155_y=6254_w=8919_h=5660/patch_36.jpg,zhongshaneryuan
22,4x,SF-P(29),SF-P(29)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(29)/node-0/x=3155_y=6254_w=8919_h=5660/patch_38.jpg,zhongshaneryuan
23,4x,SF-P(29),SF-P(29)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(29)/node-0/x=3155_y=6254_w=8919_h=5660/patch_47.jpg,zhongshaneryuan
24,4x,SF-P(29),SF-P(29)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(29)/node-0/x=3155_y=6254_w=8919_h=5660/patch_26.jpg,zhongshaneryuan
25,4x,SF-P(29),SF-P(29)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(29)/node-0/x=3155_y=6254_w=8919_h=5660/patch_25.jpg,zhongshaneryuan
26,4x,SF-P(29),SF-P(29)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(29)/node-0/x=3155_y=6254_w=8919_h=5660/patch_37.jpg,zhongshaneryuan
27,4x,SF-P(29),SF-P(29)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(29)/node-0/x=3155_y=6254_w=8919_h=5660/patch_49.jpg,zhongshaneryuan
28,4x,SF-P(29),SF-P(29)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(29)/node-0/x=3155_y=6254_w=8919_h=5660/patch_58.jpg,zhongshaneryuan
29,4x,SF-P(29),SF-P(29)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(29)/node-0/x=3155_y=6254_w=8919_h=5660/patch_48.jpg,zhongshaneryuan
30,4x,SF-P(29),SF-P(29)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(29)/node-0/x=3155_y=6254_w=8919_h=5660/patch_59.jpg,zhongshaneryuan
31,4x,SF-P(29),SF-P(29)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(29)/node-0/x=3155_y=6254_w=8919_h=5660/patch_14.jpg,zhongshaneryuan
32,4x,SF-P(29),SF-P(29)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(29)/node-0/x=3155_y=6254_w=8919_h=5660/patch_2.jpg,zhongshaneryuan
33,4x,SF-P(29),SF-P(29)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(29)/node-0/x=1089_y=11430_w=8919_h=5660/patch_23.jpg,zhongshaneryuan
34,4x,SF-P(29),SF-P(29)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(29)/node-0/x=1089_y=11430_w=8919_h=5660/patch_24.jpg,zhongshaneryuan
35,4x,SF-P(29),SF-P(29)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(29)/node-0/x=1089_y=11430_w=8919_h=5660/patch_35.jpg,zhongshaneryuan
36,4x,SF-P(29),SF-P(29)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(29)/node-0/x=1089_y=11430_w=8919_h=5660/patch_34.jpg,zhongshaneryuan
37,4x,SF-P(10),SF-P(10)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(10)/node-0/x=9108_y=5984_w=4411_h=2895/patch_38.jpg,zhongshaneryuan
38,4x,SF-P(10),SF-P(10)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(10)/node-0/x=9108_y=5984_w=4411_h=2895/patch_61.jpg,zhongshaneryuan
39,4x,SF-P(10),SF-P(10)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(10)/node-0/x=9108_y=5984_w=4411_h=2895/patch_50.jpg,zhongshaneryuan
40,4x,SF-P(10),SF-P(10)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(10)/node-0/x=9108_y=5984_w=4411_h=2895/patch_49.jpg,zhongshaneryuan
41,4x,SF-P(10),SF-P(10)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(10)/node-0/x=9108_y=5984_w=4411_h=2895/patch_28.jpg,zhongshaneryuan
42,4x,SF-P(10),SF-P(10)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(10)/node-0/x=9108_y=5984_w=4411_h=2895/patch_39.jpg,zhongshaneryuan
43,4x,SF-P(10),SF-P(10)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(10)/node-0/x=9108_y=5984_w=4411_h=2895/patch_60.jpg,zhongshaneryuan
44,4x,SF-P(10),SF-P(10)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(10)/node-0/x=9108_y=5984_w=4411_h=2895/patch_27.jpg,zhongshaneryuan
45,4x,SF-P(25),SF-P(25)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(25)/node-0/x=6239_y=39279_w=8587_h=5743/patch_38.jpg,zhongshaneryuan
46,4x,SF-P(25),SF-P(25)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(25)/node-0/x=6239_y=39279_w=8587_h=5743/patch_37.jpg,zhongshaneryuan
47,4x,SF-P(25),SF-P(25)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(25)/node-0/x=6239_y=39279_w=8587_h=5743/patch_39.jpg,zhongshaneryuan
48,4x,SF-P(25),SF-P(25)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(25)/node-0/x=6239_y=39279_w=8587_h=5743/patch_27.jpg,zhongshaneryuan
49,4x,SF-P(20),SF-P(20)-node-0,bf_micro,multi_centers/patch_use/zhongshaneryuan_patches/fs/micro-4X/SF-P(20)/node-0/x=13167_y=12347_w=8763_h=5632/patch_36.jpg,zhongshaneryuan
