ID,Resolution,WSI,Node,Class,Image_path,Center
2912,10x,FFPE-N(7),FFPE-N(7)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-10X/FFPE-N(7)/node-0/x=6023_y=18062_w=2872_h=1957/patch_8.jpg,zhongshaneryuan
2890,10x,FFPE-N(7),FFPE-N(7)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-10X/FFPE-N(7)/node-0/x=6023_y=18062_w=2872_h=1957/patch_5.jpg,zhongshaneryuan
2939,10x,FFPE-N(7),FFPE-N(7)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-10X/FFPE-N(7)/node-0/x=6023_y=18062_w=2872_h=1957/patch_30.jpg,zhongshaneryuan
2894,10x,FFPE-N(7),FFPE-N(7)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-10X/FFPE-N(7)/node-0/x=6023_y=18062_w=2872_h=1957/patch_62.jpg,zhongshaneryuan
2945,10x,FFPE-N(7),FFPE-N(7)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-10X/FFPE-N(7)/node-0/x=6023_y=18062_w=2872_h=1957/patch_11.jpg,zhongshaneryuan
2908,10x,FFPE-N(7),FFPE-N(7)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-10X/FFPE-N(7)/node-0/x=6023_y=18062_w=2872_h=1957/patch_0.jpg,zhongshaneryuan
2900,10x,FFPE-N(7),FFPE-N(7)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-10X/FFPE-N(7)/node-0/x=6023_y=18062_w=2872_h=1957/patch_69.jpg,zhongshaneryuan
2923,10x,FFPE-N(7),FFPE-N(7)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-10X/FFPE-N(7)/node-0/x=6023_y=18062_w=2872_h=1957/patch_46.jpg,zhongshaneryuan
2936,10x,FFPE-N(7),FFPE-N(7)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-10X/FFPE-N(7)/node-0/x=6023_y=18062_w=2872_h=1957/patch_1.jpg,zhongshaneryuan
2902,10x,FFPE-N(7),FFPE-N(7)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-10X/FFPE-N(7)/node-0/x=6023_y=18062_w=2872_h=1957/patch_32.jpg,zhongshaneryuan
2921,10x,FFPE-N(7),FFPE-N(7)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-10X/FFPE-N(7)/node-0/x=6023_y=18062_w=2872_h=1957/patch_10.jpg,zhongshaneryuan
2899,10x,FFPE-N(7),FFPE-N(7)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-10X/FFPE-N(7)/node-0/x=6023_y=18062_w=2872_h=1957/patch_15.jpg,zhongshaneryuan
2951,10x,FFPE-N(7),FFPE-N(7)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-10X/FFPE-N(7)/node-0/x=6023_y=18062_w=2872_h=1957/patch_35.jpg,zhongshaneryuan
2895,10x,FFPE-N(7),FFPE-N(7)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-10X/FFPE-N(7)/node-0/x=6023_y=18062_w=2872_h=1957/patch_45.jpg,zhongshaneryuan
2943,10x,FFPE-N(7),FFPE-N(7)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-10X/FFPE-N(7)/node-0/x=6023_y=18062_w=2872_h=1957/patch_68.jpg,zhongshaneryuan
2920,10x,FFPE-N(7),FFPE-N(7)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-10X/FFPE-N(7)/node-0/x=6023_y=18062_w=2872_h=1957/patch_64.jpg,zhongshaneryuan
