ID,Resolution,WSI,Node,Class,Image_path
421,4x,FFPE-N(8),FFPE-N(8)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-4X/FFPE-N(8)/node-0/x=13276_y=4002_w=8400_h=5555/patch_8.jpg
399,4x,FFPE-N(8),FFPE-N(8)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-4X/FFPE-N(8)/node-0/x=13276_y=4002_w=8400_h=5555/patch_66.jpg
446,4x,FFPE-N(8),FFPE-N(8)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-4X/FFPE-N(8)/node-0/x=13276_y=4002_w=8400_h=5555/patch_59.jpg
403,4x,FFPE-N(8),FFPE-N(8)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-4X/FFPE-N(8)/node-0/x=13276_y=4002_w=8400_h=5555/patch_36.jpg
452,4x,FFPE-N(8),FFPE-N(8)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-4X/FFPE-N(8)/node-0/x=13276_y=4002_w=8400_h=5555/patch_24.jpg
417,4x,FFPE-N(8),FFPE-N(8)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-4X/FFPE-N(8)/node-0/x=13276_y=4002_w=8400_h=5555/patch_26.jpg
409,4x,FFPE-N(8),FFPE-N(8)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-4X/FFPE-N(8)/node-0/x=13276_y=4002_w=8400_h=5555/patch_65.jpg
432,4x,FFPE-N(8),FFPE-N(8)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-4X/FFPE-N(8)/node-0/x=13276_y=4002_w=8400_h=5555/patch_46.jpg
443,4x,FFPE-N(8),FFPE-N(8)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-4X/FFPE-N(8)/node-0/x=13276_y=4002_w=8400_h=5555/patch_1.jpg
411,4x,FFPE-N(8),FFPE-N(8)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-4X/FFPE-N(8)/node-0/x=13276_y=4002_w=8400_h=5555/patch_69.jpg
430,4x,FFPE-N(8),FFPE-N(8)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-4X/FFPE-N(8)/node-0/x=13276_y=4002_w=8400_h=5555/patch_10.jpg
408,4x,FFPE-N(8),FFPE-N(8)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-4X/FFPE-N(8)/node-0/x=13276_y=4002_w=8400_h=5555/patch_61.jpg
458,4x,FFPE-N(8),FFPE-N(8)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-4X/FFPE-N(8)/node-0/x=13276_y=4002_w=8400_h=5555/patch_56.jpg
404,4x,FFPE-N(8),FFPE-N(8)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-4X/FFPE-N(8)/node-0/x=13276_y=4002_w=8400_h=5555/patch_38.jpg
467,4x,FFPE-N(8),FFPE-N(8)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-4X/FFPE-N(8)/node-0/x=13276_y=4002_w=8400_h=5555/patch_2.jpg
429,4x,FFPE-N(8),FFPE-N(8)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-4X/FFPE-N(8)/node-0/x=13276_y=4002_w=8400_h=5555/patch_64.jpg
456,4x,FFPE-N(8),FFPE-N(8)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-4X/FFPE-N(8)/node-0/x=13276_y=4002_w=8400_h=5555/patch_35.jpg
434,4x,FFPE-N(8),FFPE-N(8)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-4X/FFPE-N(8)/node-0/x=13276_y=4002_w=8400_h=5555/patch_33.jpg
455,4x,FFPE-N(8),FFPE-N(8)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-4X/FFPE-N(8)/node-0/x=13276_y=4002_w=8400_h=5555/patch_63.jpg
445,4x,FFPE-N(8),FFPE-N(8)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-4X/FFPE-N(8)/node-0/x=13276_y=4002_w=8400_h=5555/patch_30.jpg
415,4x,FFPE-N(8),FFPE-N(8)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-4X/FFPE-N(8)/node-0/x=13276_y=4002_w=8400_h=5555/patch_47.jpg
433,4x,FFPE-N(8),FFPE-N(8)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-4X/FFPE-N(8)/node-0/x=13276_y=4002_w=8400_h=5555/patch_55.jpg
441,4x,FFPE-N(8),FFPE-N(8)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-4X/FFPE-N(8)/node-0/x=13276_y=4002_w=8400_h=5555/patch_48.jpg
427,4x,FFPE-N(8),FFPE-N(8)-node-0,ffpe_normal,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/negative-4X/FFPE-N(8)/node-0/x=13276_y=4002_w=8400_h=5555/patch_3.jpg
