ID,Resolution,WSI,Node,Class,Image_path,Center
17,4x,FFPE-P(47),FFPE-P(47)-node-0,ffpe_micro,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/micro-4X/FFPE-P(47)/node-0/x=20957_y=11165_w=9177_h=6110/patch_18.jpg,zhongshaneryuan
18,4x,FFPE-P(47),FFPE-P(47)-node-0,ffpe_micro,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/micro-4X/FFPE-P(47)/node-0/x=20957_y=11165_w=9177_h=6110/patch_29.jpg,zhongshaneryuan
19,4x,FFPE-P(47),FFPE-P(47)-node-0,ffpe_micro,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/micro-4X/FFPE-P(47)/node-0/x=20957_y=11165_w=9177_h=6110/patch_17.jpg,zhongshaneryuan
20,4x,FFPE-P(47),FFPE-P(47)-node-0,ffpe_micro,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/micro-4X/FFPE-P(47)/node-0/x=20957_y=11165_w=9177_h=6110/patch_28.jpg,zhongshaneryuan
21,4x,FFPE-P(47),FFPE-P(47)-node-0,ffpe_micro,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/micro-4X/FFPE-P(47)/node-0/x=20957_y=11165_w=9177_h=6110/patch_30.jpg,zhongshaneryuan
22,4x,FFPE-P(47),FFPE-P(47)-node-0,ffpe_micro,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/micro-4X/FFPE-P(47)/node-0/x=20957_y=11165_w=9177_h=6110/patch_19.jpg,zhongshaneryuan
50,4x,FFPE-P(22),FFPE-P(22)-node-0,ffpe_micro,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/micro-4X/FFPE-P(22)/node-0/x=19910_y=23534_w=8840_h=5791/patch_38.jpg,zhongshaneryuan
51,4x,FFPE-P(22),FFPE-P(22)-node-0,ffpe_micro,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/micro-4X/FFPE-P(22)/node-0/x=19910_y=23534_w=8840_h=5791/patch_62.jpg,zhongshaneryuan
52,4x,FFPE-P(22),FFPE-P(22)-node-0,ffpe_micro,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/micro-4X/FFPE-P(22)/node-0/x=19910_y=23534_w=8840_h=5791/patch_61.jpg,zhongshaneryuan
53,4x,FFPE-P(22),FFPE-P(22)-node-0,ffpe_micro,multi_centers/patch_use/zhongshaneryuan_patches/ffpe/micro-4X/FFPE-P(22)/node-0/x=19910_y=23534_w=8840_h=5791/patch_15.jpg,zhongshaneryuan
