ID,Resolution,WSI,Node,Class,Image_path,Center
688,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_17.jpg,zhongshansanyuan
658,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_66.jpg,zhongshansanyuan
680,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_25.jpg,zhongshansanyuan
689,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_3.jpg,zhongshansanyuan
676,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_26.jpg,zhongshansanyuan
686,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_16.jpg,zhongshansanyuan
668,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_65.jpg,zhongshansanyuan
728,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_56.jpg,zhongshansanyuan
662,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_36.jpg,zhongshansanyuan
670,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_69.jpg,zhongshansanyuan
707,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_48.jpg,zhongshansanyuan
691,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_64.jpg,zhongshansanyuan
725,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_63.jpg,zhongshansanyuan
693,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_37.jpg,zhongshansanyuan
726,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_35.jpg,zhongshansanyuan
703,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_28.jpg,zhongshansanyuan
731,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_41.jpg,zhongshansanyuan
719,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_54.jpg,zhongshansanyuan
713,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_30.jpg,zhongshansanyuan
698,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_82.jpg,zhongshansanyuan
667,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_61.jpg,zhongshansanyuan
722,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_24.jpg,zhongshansanyuan
663,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_38.jpg,zhongshansanyuan
705,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_77.jpg,zhongshansanyuan
692,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_10.jpg,zhongshansanyuan
720,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_11.jpg,zhongshansanyuan
700,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_49.jpg,zhongshansanyuan
712,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_23.jpg,zhongshansanyuan
674,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_47.jpg,zhongshansanyuan
697,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_50.jpg,zhongshansanyuan
714,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_59.jpg,zhongshansanyuan
738,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_2.jpg,zhongshansanyuan
665,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_45.jpg,zhongshansanyuan
708,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_13.jpg,zhongshansanyuan
711,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_83.jpg,zhongshansanyuan
677,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_0.jpg,zhongshansanyuan
724,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_19.jpg,zhongshansanyuan
683,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_78.jpg,zhongshansanyuan
702,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_40.jpg,zhongshansanyuan
671,4x,0021002482,0021002482-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/0021002482/node-0/x=29968_y=42179_w=18475_h=12107/patch_18.jpg,zhongshansanyuan
743,4x,02246896,02246896-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/02246896/node-0/x=27389_y=19392_w=18053_h=12091/patch_38.jpg,zhongshansanyuan
802,4x,02246896,02246896-node-0,bf_normal,multi_centers/patch_use/zhongshansanyuan_patches/fs/negative-4X/02246896/node-0/x=27389_y=19392_w=18053_h=12091/patch_4.jpg,zhongshansanyuan
