ID,Resolution,WSI,Node,Class,Image_path,Center
35,4x,T01638037,T01638037-node-0,ffpe_micro,multi_centers/patch_use/zhongshansanyuan_patches/ffpe/micro-4X/T01638037/node-0/x=289163_y=123087_w=17579_h=12009/patch_61.jpg,zhongshansanyuan
36,4x,T01638037,T01638037-node-0,ffpe_micro,multi_centers/patch_use/zhongshansanyuan_patches/ffpe/micro-4X/T01638037/node-0/x=289163_y=123087_w=17579_h=12009/patch_50.jpg,zhongshansanyuan
37,4x,T01638037,T01638037-node-0,ffpe_micro,multi_centers/patch_use/zhongshansanyuan_patches/ffpe/micro-4X/T01638037/node-0/x=289163_y=123087_w=17579_h=12009/patch_49.jpg,zhongshansanyuan
38,4x,T01638037,T01638037-node-0,ffpe_micro,multi_centers/patch_use/zhongshansanyuan_patches/ffpe/micro-4X/T01638037/node-0/x=289163_y=123087_w=17579_h=12009/patch_60.jpg,zhongshansanyuan
39,4x,01066405,01066405-node-0,ffpe_micro,multi_centers/patch_use/zhongshansanyuan_patches/ffpe/micro-4X/01066405/node-0/x=55193_y=24178_w=17959_h=11601/patch_69.jpg,zhongshansanyuan
40,4x,01066405,01066405-node-0,ffpe_micro,multi_centers/patch_use/zhongshansanyuan_patches/ffpe/micro-4X/01066405/node-0/x=55193_y=24178_w=17959_h=11601/patch_58.jpg,zhongshansanyuan
41,4x,01066405,01066405-node-0,ffpe_micro,multi_centers/patch_use/zhongshansanyuan_patches/ffpe/micro-4X/01066405/node-0/x=55193_y=24178_w=17959_h=11601/patch_70.jpg,zhongshansanyuan
42,4x,01401840,01401840-node-0,ffpe_micro,multi_centers/patch_use/zhongshansanyuan_patches/ffpe/micro-4X/01401840/node-0/x=130258_y=136767_w=18423_h=12388/patch_52.jpg,zhongshansanyuan
43,4x,01401840,01401840-node-0,ffpe_micro,multi_centers/patch_use/zhongshansanyuan_patches/ffpe/micro-4X/01401840/node-0/x=130258_y=136767_w=18423_h=12388/patch_36.jpg,zhongshansanyuan
44,4x,01401840,01401840-node-0,ffpe_micro,multi_centers/patch_use/zhongshansanyuan_patches/ffpe/micro-4X/01401840/node-0/x=130258_y=136767_w=18423_h=12388/patch_62.jpg,zhongshansanyuan
