ID,Resolution,WSI,Node,Class,Image_path
8195,4x,2023-03-06_11_15_47,2023-03-06_11_15_47-node-1,thyroid-micro,thyroid-cut_patch_use/micro-4X/2023-03-06_11_15_47/node-1/x=10091_y=7760_w=9107_h=6654/patch_40.jpg
8196,4x,2023-03-06_11_15_47,2023-03-06_11_15_47-node-1,thyroid-micro,thyroid-cut_patch_use/micro-4X/2023-03-06_11_15_47/node-1/x=10091_y=7760_w=9107_h=6654/patch_51.jpg
8197,4x,2023-03-06_11_15_47,2023-03-06_11_15_47-node-1,thyroid-micro,thyroid-cut_patch_use/micro-4X/2023-03-06_11_15_47/node-1/x=10091_y=7760_w=9107_h=6654/patch_52.jpg
8198,4x,2023-03-06_11_15_47,2023-03-06_11_15_47-node-2,thyroid-micro,thyroid-cut_patch_use/micro-4X/2023-03-06_11_15_47/node-2/x=50837_y=63302_w=9060_h=6975/patch_35.jpg
8199,4x,2023-03-06_11_15_47,2023-03-06_11_15_47-node-2,thyroid-micro,thyroid-cut_patch_use/micro-4X/2023-03-06_11_15_47/node-2/x=50837_y=63302_w=9060_h=6975/patch_46.jpg
8200,4x,2023-03-06_11_15_47,2023-03-06_11_15_47-node-2,thyroid-micro,thyroid-cut_patch_use/micro-4X/2023-03-06_11_15_47/node-2/x=50837_y=63302_w=9060_h=6975/patch_57.jpg
8201,4x,2023-03-06_11_15_47,2023-03-06_11_15_47-node-2,thyroid-micro,thyroid-cut_patch_use/micro-4X/2023-03-06_11_15_47/node-2/x=51166_y=64042_w=9781_h=6254/patch_17.jpg
8202,4x,2023-03-06_11_15_47,2023-03-06_11_15_47-node-2,thyroid-micro,thyroid-cut_patch_use/micro-4X/2023-03-06_11_15_47/node-2/x=51166_y=64042_w=9781_h=6254/patch_18.jpg
8203,4x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,thyroid-micro,thyroid-cut_patch_use/micro-4X/2023-03-06_11_19_08/node-1/x=33026_y=36325_w=9409_h=6586/patch_54.jpg
8204,4x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,thyroid-micro,thyroid-cut_patch_use/micro-4X/2023-03-06_11_19_08/node-1/x=33026_y=36325_w=9409_h=6586/patch_55.jpg
8205,4x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-1,thyroid-micro,thyroid-cut_patch_use/micro-4X/2023-03-06_11_19_08/node-1/x=33026_y=36325_w=9409_h=6586/patch_67.jpg
8206,4x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-2,thyroid-micro,thyroid-cut_patch_use/micro-4X/2023-03-06_11_19_08/node-2/x=43790_y=41641_w=9409_h=6586/patch_53.jpg
8207,4x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-2,thyroid-micro,thyroid-cut_patch_use/micro-4X/2023-03-06_11_19_08/node-2/x=43790_y=41641_w=9409_h=6586/patch_54.jpg
8208,4x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-2,thyroid-micro,thyroid-cut_patch_use/micro-4X/2023-03-06_11_19_08/node-2/x=43790_y=41641_w=9409_h=6586/patch_55.jpg
8209,4x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-3,thyroid-micro,thyroid-cut_patch_use/micro-4X/2023-03-06_11_19_08/node-3/x=50848_y=20001_w=9409_h=6586/patch_19.jpg
8210,4x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-3,thyroid-micro,thyroid-cut_patch_use/micro-4X/2023-03-06_11_19_08/node-3/x=50848_y=20001_w=9409_h=6586/patch_20.jpg
8211,4x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-3,thyroid-micro,thyroid-cut_patch_use/micro-4X/2023-03-06_11_19_08/node-3/x=50848_y=20001_w=9409_h=6586/patch_28.jpg
8212,4x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-3,thyroid-micro,thyroid-cut_patch_use/micro-4X/2023-03-06_11_19_08/node-3/x=50848_y=20001_w=9409_h=6586/patch_29.jpg
8213,4x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-3,thyroid-micro,thyroid-cut_patch_use/micro-4X/2023-03-06_11_19_08/node-3/x=50848_y=20001_w=9409_h=6586/patch_31.jpg
8214,4x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-3,thyroid-micro,thyroid-cut_patch_use/micro-4X/2023-03-06_11_19_08/node-3/x=50848_y=20001_w=9409_h=6586/patch_32.jpg
8215,4x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-3,thyroid-micro,thyroid-cut_patch_use/micro-4X/2023-03-06_11_19_08/node-3/x=50848_y=20001_w=9409_h=6586/patch_40.jpg
8216,4x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-3,thyroid-micro,thyroid-cut_patch_use/micro-4X/2023-03-06_11_19_08/node-3/x=50848_y=20001_w=9409_h=6586/patch_41.jpg
8217,4x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-3,thyroid-micro,thyroid-cut_patch_use/micro-4X/2023-03-06_11_19_08/node-3/x=50848_y=20001_w=9409_h=6586/patch_42.jpg
8218,4x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-3,thyroid-micro,thyroid-cut_patch_use/micro-4X/2023-03-06_11_19_08/node-3/x=50848_y=20001_w=9409_h=6586/patch_43.jpg
8219,4x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-3,thyroid-micro,thyroid-cut_patch_use/micro-4X/2023-03-06_11_19_08/node-3/x=50848_y=20001_w=9409_h=6586/patch_52.jpg
8220,4x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-3,thyroid-micro,thyroid-cut_patch_use/micro-4X/2023-03-06_11_19_08/node-3/x=50848_y=20001_w=9409_h=6586/patch_53.jpg
8221,4x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-3,thyroid-micro,thyroid-cut_patch_use/micro-4X/2023-03-06_11_19_08/node-3/x=50848_y=20001_w=9409_h=6586/patch_54.jpg
8222,4x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-3,thyroid-micro,thyroid-cut_patch_use/micro-4X/2023-03-06_11_19_08/node-3/x=50848_y=20001_w=9409_h=6586/patch_64.jpg
8223,4x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-3,thyroid-micro,thyroid-cut_patch_use/micro-4X/2023-03-06_11_19_08/node-3/x=50848_y=20001_w=9409_h=6586/patch_65.jpg
8224,4x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-3,thyroid-micro,thyroid-cut_patch_use/micro-4X/2023-03-06_11_19_08/node-3/x=50848_y=20001_w=9409_h=6586/patch_66.jpg
8225,4x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-3,thyroid-micro,thyroid-cut_patch_use/micro-4X/2023-03-06_11_19_08/node-3/x=50848_y=20001_w=9409_h=6586/patch_76.jpg
8226,4x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-3,thyroid-micro,thyroid-cut_patch_use/micro-4X/2023-03-06_11_19_08/node-3/x=50848_y=20001_w=9409_h=6586/patch_77.jpg
8227,4x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-3,thyroid-micro,thyroid-cut_patch_use/micro-4X/2023-03-06_11_19_08/node-3/x=51690_y=25786_w=9409_h=6586/patch_54.jpg
8228,4x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-3,thyroid-micro,thyroid-cut_patch_use/micro-4X/2023-03-06_11_19_08/node-3/x=51690_y=25786_w=9409_h=6586/patch_55.jpg
8229,4x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-3,thyroid-micro,thyroid-cut_patch_use/micro-4X/2023-03-06_11_19_08/node-3/x=51690_y=25786_w=9409_h=6586/patch_56.jpg
8230,4x,2023-03-06_11_19_08,2023-03-06_11_19_08-node-3,thyroid-micro,thyroid-cut_patch_use/micro-4X/2023-03-06_11_19_08/node-3/x=51690_y=25786_w=9409_h=6586/patch_57.jpg
